,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","52,613","46,599","27,381","58.76%","46,644","53,621","98.52%"," 00:01:55","1.02",
1,"http://www.1010jiajiao.com/xiti_id_919574","1","1","1","100%","1","1","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/xiti_id_923321/?_t_t_t=0.296632134122774","1","1","1","100%","1","1","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/xiti_id_180158","1","1","0","0%","1","1","100%"," 00:01:04","1",
4,"http://www.1010jiajiao.com/xiti_id_912736","1","1","0","0%","1","1","100%"," 00:01:29","1",
5,"http://www.1010jiajiao.com/xiti_id_742002","1","1","1","100%","1","1","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/xiti_id_588433","1","1","0","0%","1","1","100%"," 00:00:33","1",
7,"http://www.1010jiajiao.com/xiti_id_140593","1","1","0","0%","1","1","100%"," 00:21:38","1",
8,"http://www.1010jiajiao.com/xiti_id_422463","1","1","1","100%","1","2","0%"," 00:14:31","2",
9,"http://www.1010jiajiao.com/xiti_id_814154","1","1","0","0%","1","1","100%"," 00:02:00","1",
10,"http://www.1010jiajiao.com/xiti_id_897279","1","1","1","100%","1","1","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/xiti_id_901192","1","1","1","100%","1","1","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/xiti_id_325034","1","1","0","0%","1","1","100%"," 00:00:06","1",
13,"http://www.1010jiajiao.com/xiti_id_380958","1","1","1","100%","1","1","100%"," 00:01:01","1",
14,"http://www.1010jiajiao.com/xiti_id_566661","1","1","1","100%","1","1","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/xiti_id_743793","1","1","1","100%","1","1","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/xiti_id_929840","1","1","0","0%","1","1","100%"," 00:00:12","1",
17,"http://www.1010jiajiao.com/xiti_id_300697","1","1","1","100%","1","1","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/xiti_id_224175","1","1","0","0%","1","1","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/xiti_id_299081","1","1","1","100%","1","1","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/xiti_id_366545","1","1","0","0%","1","1","100%"," 00:01:22","1",
21,"http://www.1010jiajiao.com/xiti_id_935083","1","1","0","0%","1","1","100%"," 00:02:00","1",
22,"http://www.1010jiajiao.com/xiti_id_227553","1","1","0","0%","1","1","100%"," 00:00:03","1",
23,"http://www.1010jiajiao.com/xiti_id_978781","1","1","0","0%","1","1","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/xiti_id_910018","1","1","1","100%","1","1","100%"," 00:02:00","1",
25,"http://www.1010jiajiao.com/xiti_id_794984","1","1","1","100%","1","1","100%"," 00:00:13","1",
26,"http://www.1010jiajiao.com/xiti_id_1000922","1","1","1","100%","1","1","100%"," 00:02:00","1",
27,"http://www.1010jiajiao.com/xiti_id_909404","1","1","0","0%","1","1","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/xiti_id_800435","1","1","1","100%","1","1","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/xiti_id_106997","1","1","1","100%","1","1","100%"," 00:02:00","1",
30,"http://www.1010jiajiao.com/xiti_page_18465","1","1","1","100%","1","1","100%"," 00:02:00","1",
31,"http://www.1010jiajiao.com/xiti_id_875466","1","1","0","0%","1","1","100%"," 00:02:13","1",
32,"http://www.1010jiajiao.com/xiti_id_934107","1","1","1","100%","1","1","100%"," 00:00:03","1",
33,"http://www.1010jiajiao.com/xiti_id_722663","1","1","1","100%","1","1","100%"," 00:00:03","1",
34,"http://www.1010jiajiao.com/xiti_id_84168","1","1","1","100%","1","1","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/xiti_id_898047","1","1","1","100%","1","1","100%"," 00:01:25","1",
36,"http://www.1010jiajiao.com/xiti_id_327027","1","1","0","0%","1","1","100%"," 00:00:11","1",
37,"http://www.1010jiajiao.com/xiti_id_923681","1","1","1","100%","1","1","100%"," 00:02:00","1",
38,"http://www.1010jiajiao.com/xiti_id_26095","1","1","1","100%","1","1","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/xiti_id_844201","1","1","0","0%","1","1","100%"," 00:02:00","1",
40,"http://www.1010jiajiao.com/xiti_id_963","1","1","0","0%","1","1","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/xiti_id_185225","1","1","1","100%","1","1","100%"," 00:02:00","1",
42,"http://www.1010jiajiao.com/xiti_id_925344","1","1","0","0%","1","1","100%"," 00:00:44","1",
43,"http://www.1010jiajiao.com/xiti_id_590011","1","1","1","100%","1","1","100%"," 00:02:00","1",
44,"http://www.1010jiajiao.com/xiti_id_281699","1","1","0","0%","1","1","100%"," 00:02:00","1",
45,"http://www.1010jiajiao.com/xiti_page_4101","1","1","1","100%","1","1","100%"," 00:02:00","1",
46,"http://www.1010jiajiao.com/xiti_id_906028","1","1","1","100%","1","1","100%"," 00:02:00","1",
47,"http://www.1010jiajiao.com/xiti_id_349238","1","1","1","100%","1","1","100%"," 00:02:00","1",
48,"http://www.1010jiajiao.com/xiti_id_370467","1","1","0","0%","1","1","100%"," 00:00:32","1",
49,"http://www.1010jiajiao.com/xiti_id_738334","1","1","1","100%","1","1","100%"," 00:02:00","1",
50,"http://www.1010jiajiao.com/xiti_id_407522","1","1","1","100%","1","1","100%"," 00:02:00","1",
51,"http://www.1010jiajiao.com/xiti_id_43217","1","1","1","100%","1","1","100%"," 00:02:00","1",
52,"http://www.1010jiajiao.com/xiti_id_993689","1","1","0","0%","1","1","100%"," 00:02:00","1",
53,"http://www.1010jiajiao.com/xiti_id_25316","1","1","1","100%","1","1","100%"," 00:02:00","1",
54,"http://www.1010jiajiao.com/xiti_id_152429","1","1","1","100%","1","1","100%"," 00:05:49","1",
55,"http://www.1010jiajiao.com/xiti_id_33103/?_t_t_t=0.7454830619972199","1","1","0","0%","1","1","100%"," 00:01:36","1",
56,"http://www.1010jiajiao.com/xiti_id_916474","1","1","0","0%","1","3","0%"," 00:06:08","3",
57,"http://www.1010jiajiao.com/xiti_id_26499","1","1","1","100%","1","1","100%"," 00:00:20","1",
58,"http://www.1010jiajiao.com/xiti_id_618590","1","1","1","100%","1","1","100%"," 00:02:00","1",
59,"http://www.1010jiajiao.com/xiti_id_80676","1","1","1","100%","1","1","100%"," 00:07:36","1",
60,"http://www.1010jiajiao.com/xiti_id_992150","1","1","1","100%","1","1","100%"," 00:02:00","1",
61,"http://www.1010jiajiao.com/xiti_id_124691","1","1","1","100%","1","1","100%"," 00:02:00","1",
62,"http://www.1010jiajiao.com/xiti_id_195127","1","1","1","100%","1","1","100%"," 00:02:00","1",
63,"http://www.1010jiajiao.com/xiti_id_348370","1","1","0","0%","1","1","100%"," 00:00:30","1",
64,"http://www.1010jiajiao.com/xiti_id_28890","1","1","0","0%","1","1","100%"," 00:00:05","1",
65,"http://www.1010jiajiao.com/xiti_id_179598","1","1","1","100%","1","1","100%"," 00:02:00","1",
66,"http://www.1010jiajiao.com/xiti_page_15608","1","1","1","100%","1","1","100%"," 00:02:00","1",
67,"http://www.1010jiajiao.com/xiti_id_602320","1","1","0","0%","1","1","100%"," 00:00:19","1",
68,"http://www.1010jiajiao.com/xiti_id_818245","1","1","0","0%","1","1","100%"," 00:01:38","1",
69,"http://www.1010jiajiao.com/xiti_id_81048","1","1","1","100%","1","1","100%"," 00:02:00","1",
70,"http://www.1010jiajiao.com/xiti_id_229937","1","1","0","0%","1","1","100%"," 00:26:08","1",
71,"http://www.1010jiajiao.com/xiti_id_210692","1","1","0","0%","1","1","100%"," 00:02:00","1",
72,"http://www.1010jiajiao.com/xiti_id_964931","1","1","0","0%","1","1","100%"," 00:00:09","1",
73,"http://www.1010jiajiao.com/xiti_id_915867","1","1","1","100%","1","1","100%"," 00:02:00","1",
74,"http://www.1010jiajiao.com/xiti_id_36854","1","1","1","100%","1","1","100%"," 00:00:04","1",
75,"http://www.1010jiajiao.com/xiti_id_737826","1","1","0","0%","1","1","100%"," 00:02:00","1",
