,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","196,118","168,724","87,398","51.8%","168,535","203,578","97.13%"," 00:01:52","1.04",
1,"http://www.1010jiajiao.com/timu_id_2636683","2","2","2","100%","2","2","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/timu_id_3063736","2","2","2","100%","2","2","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/timu_id_1975078","2","1","1","100%","1","2","100%"," 00:02:00","1",
4,"http://www.1010jiajiao.com/timu_id_2326804?t=1472738996664","2","1","1","100%","1","2","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/timu_id_2297840","2","1","0","0%","1","2","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/timu_id_1368993","2","2","2","100%","1","2","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/timu_page_20510","2","1","0","0%","1","2","100%"," 00:02:00","1",
8,"http://www.1010jiajiao.com/timu_id_3311146","2","1","0","0%","1","2","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/timu_id_2135592","2","2","1","50%","2","2","100%"," 00:02:00","1",
10,"http://www.1010jiajiao.com/timu_id_649934","2","1","0","0%","1","2","100%"," 00:01:02","1",
11,"http://www.1010jiajiao.com/timu_id_4311234","2","1","0","0%","1","2","100%"," 00:00:09","1",
12,"http://www.1010jiajiao.com/timu_id_3567397","2","2","2","100%","2","2","100%"," 00:02:00","1",
13,"http://www.1010jiajiao.com/timu_id_2693398","2","2","1","50%","2","2","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/timu_id_2620276","2","1","1","100%","1","2","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/timu_id_4362164","2","1","0","0%","1","2","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/timu_id_3535359","2","1","1","100%","1","2","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/timu_id_710228","2","2","1","50%","2","2","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/timu_id_960409","2","2","2","100%","2","2","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/timu_id_3765446","2","1","1","100%","1","2","100%"," 00:01:03","1",
20,"http://www.1010jiajiao.com/timu_id_2149583/?_t_t_t=0.7346898708492517","2","2","1","50%","2","2","100%"," 00:00:15","1",
21,"http://www.1010jiajiao.com/timu_id_122365","2","2","2","100%","2","2","100%"," 00:02:00","1",
22,"http://www.1010jiajiao.com/timu_id_2387730","2","2","0","0%","2","2","100%"," 00:01:21","1",
23,"http://www.1010jiajiao.com/timu_id_69332","2","2","1","50%","2","2","100%"," 00:01:01","1",
24,"http://www.1010jiajiao.com/timu_id_1147696","2","1","0","0%","1","2","100%"," 00:00:12","1",
25,"http://www.1010jiajiao.com/timu_id_1291799","2","2","1","50%","2","13","50%"," 00:41:18","6.5",
26,"http://www.1010jiajiao.com/timu_id_2303443","2","1","0","0%","1","2","100%"," 00:02:33","1",
27,"http://www.1010jiajiao.com/timu_id_520541","2","1","1","100%","1","2","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/timu_id_721807","2","1","0","0%","1","2","100%"," 00:00:39","1",
29,"http://www.1010jiajiao.com/timu_id_1449479","2","1","0","0%","1","2","100%"," 00:00:18","1",
30,"http://www.1010jiajiao.com/timu_id_1365263","2","1","1","100%","1","2","100%"," 00:01:13","1",
31,"http://www.1010jiajiao.com/timu_id_3485785","2","1","1","100%","1","2","100%"," 00:00:36","1",
32,"http://www.1010jiajiao.com/timu_id_2777793","2","2","2","100%","2","2","100%"," 00:02:00","1",
33,"http://www.1010jiajiao.com/timu_id_1029934","2","2","2","100%","2","2","100%"," 00:02:00","1",
34,"http://www.1010jiajiao.com/timu_id_1055787","2","1","0","0%","1","2","100%"," 00:01:08","1",
35,"http://www.1010jiajiao.com/timu_id_2716235","2","1","0","0%","1","2","100%"," 00:01:00","1",
36,"http://www.1010jiajiao.com/timu_id_2951741","2","2","2","100%","2","2","100%"," 00:01:05","1",
37,"http://www.1010jiajiao.com/timu_id_2403770","2","1","1","100%","1","2","100%"," 00:02:00","1",
38,"http://www.1010jiajiao.com/timu_id_2144441","2","2","1","50%","2","2","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/timu_id_2051717","2","2","1","50%","2","3","50%"," 00:01:22","1.5",
40,"http://www.1010jiajiao.com/timu_id_4282176","2","2","1","50%","2","4","50%"," 00:01:29","2",
41,"http://www.1010jiajiao.com/timu_id_4428333","2","1","0","0%","1","2","100%"," 00:00:13","1",
42,"http://www.1010jiajiao.com/timu_id_1619775","2","1","0","0%","1","2","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/timu_id_4207784","2","2","2","100%","1","3","50%"," 00:13:54","1.5",
44,"http://www.1010jiajiao.com/timu_id_3871138","2","1","1","100%","1","2","100%"," 00:02:00","1",
45,"http://www.1010jiajiao.com/timu_id_2112167","2","1","1","100%","1","2","100%"," 00:00:02","1",
46,"http://www.1010jiajiao.com/timu_id_3828057","2","2","1","50%","2","2","100%"," 00:02:00","1",
47,"http://www.1010jiajiao.com/timu_id_2197423","2","1","0","0%","2","2","100%"," 00:00:04","1",
48,"http://www.1010jiajiao.com/timu_id_1767221","2","1","1","100%","1","2","100%"," 00:02:00","1",
49,"http://www.1010jiajiao.com/timu_id_133434","2","2","0","0%","2","2","100%"," 00:02:00","1",
50,"http://www.1010jiajiao.com/timu_id_2455514","2","2","1","50%","2","2","100%"," 00:02:40","1",
51,"http://www.1010jiajiao.com/timu_id_2383419","2","2","0","0%","2","3","50%"," 00:01:18","1.5",
52,"http://www.1010jiajiao.com/timu_id_2044394","2","1","1","100%","1","2","100%"," 00:02:00","1",
53,"http://www.1010jiajiao.com/timu_id_440076","2","2","1","50%","2","2","100%"," 00:01:14","1",
54,"http://www.1010jiajiao.com/timu_id_2282437","2","2","1","50%","2","2","100%"," 00:02:00","1",
55,"http://www.1010jiajiao.com/timu_id_508284?_t_t_t=0.16644589020870626","2","2","2","100%","2","2","100%"," 00:01:29","1",
56,"http://www.1010jiajiao.com/timu_id_2130552","2","2","1","50%","2","2","100%"," 00:01:10","1",
57,"http://www.1010jiajiao.com/timu_id_1196068","2","2","2","100%","2","2","100%"," 00:02:00","1",
58,"http://www.1010jiajiao.com/timu_id_1582868","2","2","2","100%","2","2","100%"," 00:02:00","1",
59,"http://www.1010jiajiao.com/timu_id_2384849","2","1","1","100%","1","2","100%"," 00:01:08","1",
60,"http://www.1010jiajiao.com/timu_id_1486639","2","1","1","100%","1","2","100%"," 00:02:00","1",
61,"http://www.1010jiajiao.com/timu_id_2648868","2","2","2","100%","2","2","100%"," 00:02:00","1",
62,"http://www.1010jiajiao.com/timu_id_4433796","2","1","0","0%","1","2","100%"," 00:02:00","1",
63,"http://www.1010jiajiao.com/timu_id_2593395","2","1","0","0%","1","2","100%"," 00:02:00","1",
64,"http://www.1010jiajiao.com/timu_id_34488","2","1","0","0%","1","3","50%"," 00:15:09","1.5",
65,"http://www.1010jiajiao.com/timu_id_3607384","2","1","1","100%","1","2","100%"," 00:00:09","1",
66,"http://www.1010jiajiao.com/timu_id_1203952","2","2","1","50%","2","2","100%"," 00:06:05","1",
67,"http://www.1010jiajiao.com/timu_page_72320","2","1","1","100%","1","4","0%"," 00:00:26","2",
68,"http://www.1010jiajiao.com/timu_id_3930144","2","1","1","100%","1","2","100%"," 00:02:00","1",
69,"http://www.1010jiajiao.com/timu_id_3830514","2","1","1","100%","1","2","100%"," 00:02:00","1",
70,"http://www.1010jiajiao.com/timu_id_333777","2","1","0","0%","2","2","100%"," 00:01:08","1",
71,"http://www.1010jiajiao.com/timu_id_1616991","2","2","2","100%","2","2","100%"," 00:02:00","1",
72,"http://www.1010jiajiao.com/timu_id_718308","2","2","0","0%","2","2","100%"," 00:04:17","1",
73,"http://www.1010jiajiao.com/timu_id_1627597","2","2","2","100%","2","2","100%"," 00:02:00","1",
74,"http://www.1010jiajiao.com/timu_id_2164933","2","1","1","100%","1","2","100%"," 00:02:59","1",
75,"http://www.1010jiajiao.com/timu_id_1800781","2","1","0","0%","1","2","100%"," 00:02:00","1",
76,"http://www.1010jiajiao.com/timu_id_3536508","2","1","1","100%","1","2","100%"," 00:02:00","1",
77,"http://www.1010jiajiao.com/timu_id_2173479","2","2","2","100%","2","2","100%"," 00:01:02","1",
78,"http://www.1010jiajiao.com/timu_id_2202640","2","2","2","100%","2","2","100%"," 00:02:00","1",
79,"http://www.1010jiajiao.com/timu_id_3205123","2","1","1","100%","1","2","100%"," 00:00:57","1",
80,"http://www.1010jiajiao.com/timu_id_1650888","2","1","1","100%","1","2","100%"," 00:01:10","1",
81,"http://www.1010jiajiao.com/timu_id_1581161","2","2","0","0%","2","2","100%"," 00:02:00","1",
82,"http://www.1010jiajiao.com/timu_id_1977049","2","1","1","100%","1","2","100%"," 00:02:00","1",
83,"http://www.1010jiajiao.com/timu_page_442581","2","1","0","0%","1","8","50%"," 00:01:11","4",
84,"http://www.1010jiajiao.com/timu_id_3785979","2","2","2","100%","2","2","100%"," 00:01:02","1",
85,"http://www.1010jiajiao.com/timu_id_3499490","2","1","1","100%","1","2","100%"," 00:02:00","1",
86,"http://www.1010jiajiao.com/timu_id_1445620","2","1","1","100%","1","2","100%"," 00:02:00","1",
87,"http://www.1010jiajiao.com/timu_id_270872","2","1","0","0%","1","2","100%"," 00:02:00","1",
88,"http://www.1010jiajiao.com/timu_id_3880872","2","1","1","100%","1","2","100%"," 00:02:00","1",
89,"http://www.1010jiajiao.com/timu_id_341568","2","1","1","100%","1","2","100%"," 00:02:00","1",
90,"http://www.1010jiajiao.com/timu_id_2171650","2","2","1","50%","2","3","50%"," 00:01:03","1.5",
91,"http://www.1010jiajiao.com/timu_page_392740","2","2","0","0%","1","3","50%"," 00:01:05","1.5",
92,"http://www.1010jiajiao.com/timu_id_451359","2","2","2","100%","2","2","100%"," 00:02:00","1",
93,"http://www.1010jiajiao.com/timu_id_3118664","2","1","1","100%","1","5","0%"," 00:02:10","2.5",
94,"http://www.1010jiajiao.com/timu_id_3222368","2","1","1","100%","1","2","100%"," 00:01:02","1",
95,"http://www.1010jiajiao.com/timu_id_1289056","2","2","2","100%","2","2","100%"," 00:02:00","1",
96,"http://www.1010jiajiao.com/timu_id_2350597","2","2","2","100%","2","2","100%"," 00:01:32","1",
