,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","886,820","709,100","261,397","36.86%","713,073","6,363,020","34.87%"," 00:05:32","7.18",
1,"http://www.1010jiajiao.com/daan/index.php","13,158","10,683","3,477","32.55%","10,688","137,194","26.31%"," 00:08:57","10.43",
2,"http://www.1010jiajiao.com/daan","10,119","8,850","2,647","29.91%","8,791","124,426","14.99%"," 00:12:43","12.3",
3,"http://www.1010jiajiao.com/daan/bookid_14552.html","2,436","1,490","595","39.93%","1,500","6,844","67.9%"," 00:02:13","2.81",
4,"http://www.1010jiajiao.com/daan/bookid_156344.html","2,032","1,204","456","37.87%","1,217","5,171","69.69%"," 00:01:56","2.54",
5,"http://www.1010jiajiao.com/daan/bookid_204011.html","1,965","1,763","528","29.95%","1,768","21,461","12.57%"," 00:08:14","10.92",
6,"http://www.1010jiajiao.com/daan/bookid_205277.html","1,804","1,696","500","29.48%","1,668","20,221","6.87%"," 00:08:59","11.21",
7,"http://www.1010jiajiao.com/daan/bookid_43393.html","1,671","1,196","733","61.29%","1,201","18,440","24.42%"," 00:02:54","11.04",
8,"http://www.1010jiajiao.com/daan/bookid_9877.html","1,630","1,131","466","41.2%","1,137","3,538","79.14%"," 00:01:52","2.17",
9,"http://www.1010jiajiao.com/daan/bookid_28468.html","1,592","1,281","597","46.6%","1,284","14,906","37%"," 00:05:32","9.36",
10,"http://www.1010jiajiao.com/daan/bookid_68484.html","1,495","1,183","252","21.3%","1,180","5,698","27.16%"," 00:05:20","3.81",
11,"http://www.1010jiajiao.com/daan/bookid_6483.html","1,356","967","351","36.3%","973","2,971","79.5%"," 00:02:01","2.19",
12,"http://www.1010jiajiao.com/daan/bookid_27152.html","1,317","837","359","42.89%","842","7,401","25.82%"," 00:05:39","5.62",
13,"http://www.1010jiajiao.com/daan/bookid_152855.html","1,303","849","370","43.58%","856","7,208","35.38%"," 00:02:53","5.53",
14,"http://www.1010jiajiao.com/daan/bookid_211827.html","1,281","917","319","34.79%","930","14,299","25.06%"," 00:06:15","11.16",
15,"http://www.1010jiajiao.com/daan/bookid_162948.html","1,256","820","411","50.12%","821","8,940","39.57%"," 00:03:45","7.12",
16,"http://www.1010jiajiao.com/daan/bookid_28462.html","1,192","906","468","51.66%","917","11,815","32.47%"," 00:04:30","9.91",
17,"http://www.1010jiajiao.com/daan/bookid_1635.html","1,102","611","255","41.73%","607","2,467","75.77%"," 00:02:02","2.24",
18,"http://www.1010jiajiao.com/daan/bookid_150656.html","1,057","777","259","33.33%","788","9,269","20.25%"," 00:05:45","8.77",
19,"http://www.1010jiajiao.com/daan/chapter_2904829.html","996","722","335","46.4%","726","4,535","44.08%"," 00:03:10","4.55",
20,"http://www.1010jiajiao.com/daan/bookid_152860.html","981","642","277","43.15%","646","9,242","28.44%"," 00:04:20","9.42",
21,"http://www.1010jiajiao.com/daan/bookid_155523.html","891","660","267","40.45%","665","6,320","22.45%"," 00:05:59","7.09",
22,"http://www.1010jiajiao.com/daan/bookid_210921.html","863","791","262","33.12%","791","11,890","11.36%"," 00:09:30","13.78",
23,"http://www.1010jiajiao.com/daan/page_2.html","861","829","60","7.24%","828","3,357","73.29%"," 00:02:59","3.9",
24,"http://www.1010jiajiao.com/daan/bookid_161834.html","837","453","203","44.81%","452","4,795","43.97%"," 00:02:26","5.73",
25,"http://www.1010jiajiao.com/daan/bookid_150649.html","830","657","246","37.44%","662","5,147","32.89%"," 00:04:32","6.2",
26,"http://www.1010jiajiao.com/daan/bookid_209704.html?from=singlemessage","804","562","172","30.6%","563","5,158","21.64%"," 00:06:13","6.42",
27,"http://www.1010jiajiao.com/daan/bookid_38357.html","796","635","225","35.43%","633","5,417","16.46%"," 00:05:59","6.81",
28,"http://www.1010jiajiao.com/daan/chapter_2775169.html?mType=Group","789","579","148","25.56%","596","7,519","18.88%"," 00:07:52","9.53",
29,"http://www.1010jiajiao.com/daan/bookid_150705.html","779","534","183","34.27%","541","6,723","23.88%"," 00:06:13","8.63",
30,"http://www.1010jiajiao.com/daan/bookid_156048.html","735","491","217","44.2%","486","3,859","38.91%"," 00:02:35","5.25",
31,"http://www.1010jiajiao.com/daan/bookid_66239.html","734","544","173","31.8%","547","2,625","41.42%"," 00:04:33","3.58",
32,"http://www.1010jiajiao.com/daan/bookid_212436.html","732","695","249","35.83%","684","5,975","5.19%"," 00:07:57","8.16",
33,"http://www.1010jiajiao.com/daan/chapter_2714722.html","711","662","199","30.06%","653","7,818","6.75%"," 00:08:57","11",
34,"http://www.1010jiajiao.com/daan/bookid_152858.html","707","454","215","47.36%","463","5,599","29.7%"," 00:03:08","7.92",
35,"http://www.1010jiajiao.com/daan/bookid_154762.html","700","508","185","36.42%","508","7,039","23.29%"," 00:05:36","10.06",
36,"http://www.1010jiajiao.com/daan/chapter_2841772.html","696","417","117","28.06%","422","8,238","23.85%"," 00:03:45","11.84",
37,"http://www.1010jiajiao.com/daan/bookid_152854.html","694","420","181","43.1%","432","4,761","29.54%"," 00:03:59","6.86",
38,"http://www.1010jiajiao.com/daan/bookid_27076.html?mobile=2","691","442","179","40.5%","452","5,650","29.67%"," 00:05:35","8.18",
39,"http://www.1010jiajiao.com/daan/chapter_2680731.html?from=groupmessage","688","459","191","41.61%","456","3,492","42.59%"," 00:03:24","5.08",
40,"http://www.1010jiajiao.com/daan/bookid_1422.html","683","528","212","40.15%","526","7,290","37.04%"," 00:08:06","10.67",
41,"http://www.1010jiajiao.com/daan/bookid_189911.html","676","423","201","47.52%","423","3,373","53.85%"," 00:01:42","4.99",
42,"http://www.1010jiajiao.com/daan/bookid_68479.html","661","538","129","23.98%","539","4,552","21.79%"," 00:06:31","6.89",
43,"http://www.1010jiajiao.com/daan/bookid_25891.html","660","486","232","47.74%","487","4,037","40.15%"," 00:03:18","6.12",
44,"http://www.1010jiajiao.com/daan/chapter_2705797.html?from=singlemessage","649","426","145","34.04%","430","3,971","25.27%"," 00:06:21","6.12",
45,"http://www.1010jiajiao.com/daan/bookid_161829.html","640","393","168","42.75%","393","3,903","40.31%"," 00:02:08","6.1",
46,"http://www.1010jiajiao.com/daan/bookid_203768.html?t=1505649337170","630","440","166","37.73%","442","7,315","29.21%"," 00:06:12","11.61",
47,"http://www.1010jiajiao.com/daan/bookid_212584.html","619","465","132","28.39%","465","8,047","25.85%"," 00:08:11","13",
48,"http://www.1010jiajiao.com/daan/bookid_125537.html","619","450","165","36.67%","452","5,117","23.42%"," 00:07:38","8.27",
49,"http://www.1010jiajiao.com/daan/chapter_2717645.html?from=androidqq","619","376","153","40.69%","376","2,919","47.66%"," 00:02:02","4.72",
50,"http://www.1010jiajiao.com/daan/chapter_2645089.html?from=singlemessage","611","431","159","36.89%","434","5,371","27.66%"," 00:06:01","8.79",
51,"http://www.1010jiajiao.com/daan/bookid_159604.html","609","424","130","30.66%","422","5,518","29.39%"," 00:05:36","9.06",
52,"http://www.1010jiajiao.com/daan/chapter_2680831.html?from=singlemessage","603","411","191","46.47%","420","3,596","36.15%"," 00:03:31","5.96",
53,"http://www.1010jiajiao.com/daan/bookid_203017.html","600","525","170","32.38%","523","8,061","18%"," 00:08:40","13.44",
54,"http://www.1010jiajiao.com/daan/bookid_164133.html","597","399","218","54.64%","401","4,024","41.54%"," 00:03:07","6.74",
55,"http://www.1010jiajiao.com/daan/bookid_207015.html","595","467","120","25.7%","463","9,088","25.55%"," 00:06:15","15.27",
56,"http://www.1010jiajiao.com/daan/bookid_205288.html","595","550","170","30.91%","555","7,501","9.08%"," 00:07:57","12.61",
57,"http://www.1010jiajiao.com/daan/bookid_125536.html","592","435","157","36.09%","434","3,724","23.99%"," 00:05:14","6.29",
58,"http://www.1010jiajiao.com/daan/bookid_152171.html","585","344","106","30.81%","359","3,425","32.48%"," 00:05:44","5.85",
59,"http://www.1010jiajiao.com/daan/chapter_2680890.html?from=singlemessage","583","411","169","41.12%","413","3,077","39.11%"," 00:03:57","5.28",
60,"http://www.1010jiajiao.com/daan/bookid_207904.html","580","535","194","36.26%","527","3,886","11.9%"," 00:05:52","6.7",
61,"http://www.1010jiajiao.com/daan/bookid_162687.html","574","451","148","32.82%","457","5,633","17.77%"," 00:05:43","9.81",
62,"http://www.1010jiajiao.com/daan/bookid_206880.html?from=singlemessage&amp;isappinstalled=1","574","434","162","37.33%","442","3,922","21.43%"," 00:05:50","6.83",
63,"http://www.1010jiajiao.com/daan/chapter_2968347.html","566","383","175","45.69%","390","4,662","36.04%"," 00:04:11","8.24",
64,"http://www.1010jiajiao.com/daan/chapter_2910492.html","558","346","125","36.13%","351","2,839","27.42%"," 00:05:26","5.09",
65,"http://www.1010jiajiao.com/daan/chapter_2801237.html?mType=Group","557","377","173","45.89%","379","3,927","30.52%"," 00:03:58","7.05",
66,"http://www.1010jiajiao.com/daan/chapter_2958720.html","554","377","169","44.83%","377","4,084","31.59%"," 00:05:12","7.37",
67,"http://www.1010jiajiao.com/daan/chapter_2626839.html?t=1506605652565","548","434","141","32.49%","437","4,517","21.35%"," 00:05:15","8.24",
68,"http://www.1010jiajiao.com/daan/bookid_161724.html","535","344","192","55.81%","341","3,414","42.62%"," 00:02:06","6.38",
69,"http://www.1010jiajiao.com/daan/bookid_154704.html","532","364","121","33.24%","368","4,585","26.5%"," 00:04:29","8.62",
70,"http://www.1010jiajiao.com/daan/bookid_177354.html","530","329","100","30.4%","337","2,928","38.87%"," 00:03:00","5.52",
71,"http://www.1010jiajiao.com/daan/bookid_207211.html?from=singlemessage","526","389","117","30.08%","390","3,548","17.87%"," 00:06:43","6.75",
72,"http://www.1010jiajiao.com/daan/chapter_2917335.html","523","370","111","30%","373","2,959","31.36%"," 00:05:02","5.66",
73,"http://www.1010jiajiao.com/daan/help.php","522","477","182","38.16%","481","4,239","41.95%"," 00:06:52","8.12",
74,"http://www.1010jiajiao.com/daan/bookid_157026.html","520","421","157","37.29%","422","5,839","30.19%"," 00:05:54","11.23",
75,"http://www.1010jiajiao.com/daan/bookid_43532.html","518","393","229","58.27%","406","4,490","30.5%"," 00:02:38","8.67",
76,"http://www.1010jiajiao.com/daan/chapter_2849770.html","511","345","101","29.28%","348","4,138","33.46%"," 00:03:33","8.1",
77,"http://www.1010jiajiao.com/daan/chapter_2742447.html?from=singlemessage","499","320","102","31.88%","327","3,659","23.45%"," 00:08:25","7.33",
78,"http://www.1010jiajiao.com/daan/chapter_2676948.html?mType=Group","499","325","96","29.54%","330","7,029","21.04%"," 00:06:53","14.09",
79,"http://www.1010jiajiao.com/daan/bookid_125535.html","499","332","149","44.88%","327","2,658","30.46%"," 00:05:00","5.33",
80,"http://www.1010jiajiao.com/daan/chapter_2735244.html?from=singlemessage","495","356","138","38.76%","363","2,511","33.13%"," 00:03:58","5.07",
81,"http://www.1010jiajiao.com/daan/bookid_211985.html","493","365","97","26.58%","370","3,312","23.94%"," 00:05:22","6.72",
82,"http://www.1010jiajiao.com/daan/chapter_2735256.html?from=singlemessage","491","335","143","42.69%","338","2,568","37.07%"," 00:03:46","5.23",
83,"http://www.1010jiajiao.com/daan/bookid_144841.html","484","385","183","47.53%","385","5,499","28.31%"," 00:05:09","11.36",
84,"http://www.1010jiajiao.com/daan/chapter_2714293.html?from=singlemessage","475","370","105","28.38%","373","2,245","23.58%"," 00:04:19","4.73",
85,"http://www.1010jiajiao.com/daan/chapter_2759318.html?appinstall=0","475","352","109","30.97%","356","2,661","24.21%"," 00:05:45","5.6",
86,"http://www.1010jiajiao.com/daan/bookid_211984.html","469","341","80","23.46%","342","3,951","21.96%"," 00:06:37","8.42",
87,"http://www.1010jiajiao.com/daan/bookid_150707.html","467","397","150","37.78%","398","4,359","23.98%"," 00:05:52","9.33",
88,"http://www.1010jiajiao.com/daan/bookid_205307.html","463","370","125","33.78%","375","4,859","19.44%"," 00:06:38","10.49",
