,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","94,032","85,400","31,846","37.29%","85,623","109,431","88.36%"," 00:02:53","1.16",
1,"http://www.1010jiajiao.com/czsx/shiti_id_dd7139346978dd169ac2f85ee1852a4a","1","1","1","100%","1","1","100%"," 00:00:09","1",
2,"http://www.1010jiajiao.com/czsx/shiti_id_eeb2c2e517f4c1e687b81fb49c86b4f3","1","1","1","100%","1","1","100%"," 00:03:48","1",
3,"http://www.1010jiajiao.com/czsx/shiti_id_73d4fddb8d1a81efbdf2124cdca6b478","1","1","0","0%","1","3","0%"," 00:15:49","3",
4,"http://www.1010jiajiao.com/czsx/shiti_id_515700aefcea2476d430fe4062903443","1","1","0","0%","1","1","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/czsx/shiti_id_46fbe84178fb2a8132cbd8c19b70dfb8","1","1","0","0%","1","3","0%"," 00:07:32","3",
6,"http://www.1010jiajiao.com/czsx/shiti_id_d41addb9d5e36498461fb7204aa53102","1","1","0","0%","1","2","0%"," 00:21:00","2",
7,"http://www.1010jiajiao.com/czsx/shiti_id_20398c4d506ca5799f8f48dd66bda652","1","1","0","0%","1","2","0%"," 00:02:37","2",
8,"http://www.1010jiajiao.com/czsx/shiti_id_a11571585d1184cecaff674cbeab69be","1","1","0","0%","1","1","100%"," 00:00:34","1",
9,"http://www.1010jiajiao.com/czsx/shiti_id_524a02481928892f5e06ddfe0e29fd5c","1","1","0","0%","1","1","100%"," 00:02:00","1",
10,"http://www.1010jiajiao.com/czsx/shiti_page_136303","1","1","0","0%","1","1","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/czsx/shiti_id_4088ac8dfbb47facb9588196e2f2c864","1","1","0","0%","1","1","100%"," 00:06:51","1",
12,"http://www.1010jiajiao.com/czsx/shiti_id_d87c23b936c11f13c6dae800b1a7ad0d","1","1","0","0%","1","1","100%"," 00:02:00","1",
13,"http://www.1010jiajiao.com/czsx/shiti_id_92c9c986e38793d250a4e2fa5521e7d8","1","1","1","100%","1","1","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/czsx/shiti_id_d741d6ff93e6f2fd4f93bd4d15697179","1","1","0","0%","1","2","0%"," 00:18:05","2",
15,"http://www.1010jiajiao.com/czsx/shiti_id_cf1c8274532e5a6ff30731d78804ac40","1","1","0","0%","1","1","100%"," 00:06:54","1",
16,"http://www.1010jiajiao.com/czsx/shiti_id_e1a64f076cb6fc3fe7f89314ac37809a?spm=0.0.0.0.FiGwwY","1","1","1","100%","1","1","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/czsx/shiti_id_34be8a4082bc62030c3a759f0a672335","1","1","0","0%","1","2","0%"," 00:25:00","2",
18,"http://www.1010jiajiao.com/czsx/shiti_id_00c37ee8f040fb9b559da14c8ec3a3fc","1","1","0","0%","1","5","0%"," 00:53:33","5",
19,"http://www.1010jiajiao.com/czsx/shiti_page_224692","1","1","1","100%","1","4","0%"," 00:02:06","4",
20,"http://www.1010jiajiao.com/czsx/shiti_id_6d97e6f56cdb82b4c102375309365043","1","1","0","0%","1","1","100%"," 00:18:13","1",
21,"http://www.1010jiajiao.com/czsx/shiti_id_e754f69a06c92e4b821b7501fd806aea","1","1","0","0%","1","4","0%"," 00:02:49","4",
22,"http://www.1010jiajiao.com/czsx/shiti_id_264b01f844edc4138648518408e0aec0","1","1","1","100%","1","2","0%"," 00:02:34","2",
23,"http://www.1010jiajiao.com/czsx/shiti_id_ffb6a18de140bbdb2bde9e8b6d2ce789","1","1","1","100%","1","1","100%"," 00:00:04","1",
24,"http://www.1010jiajiao.com/czsx/shiti_id_131c9cf58bdc73e643185399cddd9faf","1","1","0","0%","1","1","100%"," 00:02:00","1",
25,"http://www.1010jiajiao.com/czsx/shiti_id_896bc69f2b29a07df5682c2a1833f973","1","1","0","0%","1","1","100%"," 00:00:20","1",
26,"http://www.1010jiajiao.com/czsx/shiti_id_3b99b8683309abd06c4af9904d439e98","1","1","1","100%","1","1","100%"," 00:00:04","1",
27,"http://www.1010jiajiao.com/czsx/shiti_id_f5f6623df43fe61c9247096d890e3519","1","1","0","0%","1","1","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/czsx/shiti_page_282512","1","1","1","100%","1","3","0%"," 00:01:28","3",
29,"http://www.1010jiajiao.com/czsx/shiti_id_aa9b10c19bc1db11bc5867f51264e3a4","1","1","0","0%","1","1","100%"," 00:02:00","1",
30,"http://www.1010jiajiao.com/czsx/shiti_page_249103","1","1","0","0%","1","2","0%"," 00:00:12","2",
31,"http://www.1010jiajiao.com/czsx/shiti_id_a7c9b504fc65f5aac622c28301403eaa","1","1","0","0%","1","1","100%"," 00:14:41","1",
32,"http://www.1010jiajiao.com/czsx/shiti_id_01d1da60dd5b941257c4ca634566a145","1","1","1","100%","1","1","100%"," 00:02:00","1",
33,"http://www.1010jiajiao.com/czsx/shiti_id_9b4214472d3828fef40b283243c111a7?_t_t_t=0.8742028824001808","1","1","0","0%","1","1","100%"," 00:02:00","1",
34,"http://www.1010jiajiao.com/czsx/shiti_id_e21f5a44fb2488b7a9d52ee28a443b1e","1","1","0","0%","1","1","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/czsx/shiti_id_126a3b7a1467eb75e1e1d07c6244fbfb","1","1","0","0%","1","1","100%"," 00:02:00","1",
36,"http://www.1010jiajiao.com/czsx/shiti_id_45f3c88d54517f098ce1f589c102f94d","1","1","1","100%","1","1","100%"," 00:02:00","1",
37,"http://www.1010jiajiao.com/czsx/shiti_id_4ebc9b2cc91070361c4e84e8e3d6e05b","1","1","1","100%","1","1","100%"," 00:00:08","1",
38,"http://www.1010jiajiao.com/czsx/shiti_id_5d8eef3e3539d7f5874dea0dfc069941","1","1","1","100%","1","1","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/czsx/shiti_id_9f822554b3aaffebddb2d1326d380e0d","1","1","0","0%","1","1","100%"," 00:02:00","1",
40,"http://www.1010jiajiao.com/czsx/shiti_id_e584f4677521a8d5461fa702ba2b7bda","1","1","0","0%","1","1","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/czsx/shiti_id_e6afc4e50d254c69edc053c5f4e7ec01","1","1","0","0%","1","1","100%"," 00:00:46","1",
42,"http://www.1010jiajiao.com/czsx/shiti_id_8fba4a15894b4036ee4270a1b2f2826e","1","1","1","100%","1","1","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/czsx/shiti_id_35c8a6701f5b4ab23aa1aaf990708354","1","1","0","0%","1","1","100%"," 00:02:00","1",
