,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","76,399","70,686","33,908","47.97%","70,837","84,748","92.08%"," 00:02:14","1.11",
1,"http://www.1010jiajiao.com/czyy/shiti_id_78a285813ae95eb52ff5c1a70beeefa1","2,240","1,860","1,344","72.26%","1,881","2,298","97.68%"," 00:01:40","1.03",
2,"http://www.1010jiajiao.com/czyy/index.php","672","671","282","42.03%","668","806","88.1%"," 00:00:49","1.2",
3,"http://www.1010jiajiao.com/czyy/shiti_id_55324dd5052d09125dc646b7523a9707","509","448","306","68.3%","449","516","99.02%"," 00:01:35","1.01",
4,"http://www.1010jiajiao.com/czyy/shiti_id_b5ed18daecd537aae2f956d9a969648a","192","183","102","55.74%","184","203","95.31%"," 00:01:59","1.06",
5,"http://www.1010jiajiao.com/czyy/shiti_id_20d8a76e251784dceaabbe788c5541b7","152","124","110","88.71%","122","168","91.45%"," 00:02:52","1.11",
6,"http://www.1010jiajiao.com/czyy/shiti_id_6f1c6836ab65566bcb3c55e3a0eafa99","146","144","96","66.67%","143","176","85.62%"," 00:01:56","1.21",
7,"http://www.1010jiajiao.com/czyy/shiti_id_7e8a311dead6f606f01d17deae58093e","118","116","63","54.31%","116","130","89.83%"," 00:02:22","1.1",
8,"http://www.1010jiajiao.com/czyy/shiti_id_8e3b61791cc3a56addd8e2f424d9fc65/?_u_u_u=0.3549539474770427","117","109","66","60.55%","109","124","94.02%"," 00:01:41","1.06",
9,"http://www.1010jiajiao.com/czyy/shiti_page_10199","117","94","78","82.98%","95","124","94.02%"," 00:01:48","1.06",
10,"http://www.1010jiajiao.com/czyy/shiti_id_9a8a744cac178f17bded56c061e0cfe1","104","100","70","70%","99","110","95.19%"," 00:02:05","1.06",
11,"http://www.1010jiajiao.com/czyy/shiti_id_8ace5aa030eda900ed048900ba1481fe","101","79","63","79.75%","78","102","99.01%"," 00:01:33","1.01",
