,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","184,201","168,240","80,544","47.87%","168,493","211,107","89.81%"," 00:02:22","1.15",
1,"http://www.1010jiajiao.com/czyw/shiti_id_85aaa71376479b8dc0b604177274889c","1","1","1","100%","1","1","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/czyw/shiti_id_e0e2cfcf3fbe953d11a272a24cd15f71","1","1","0","0%","1","1","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/czyw/shiti_id_8d95979c52c6d49a44e4160bb0bce34e","1","1","0","0%","1","2","0%"," 00:58:12","2",
4,"http://www.1010jiajiao.com/czyw/shiti_page_15710","1","1","0","0%","1","2","0%"," 00:00:06","2",
5,"http://www.1010jiajiao.com/czyw/shiti_id_6bf03174c25eec9a1706946ea4f04e3a","1","1","1","100%","1","1","100%"," 00:00:07","1",
6,"http://www.1010jiajiao.com/czyw/shiti_id_dcf24fa241dd64d58ca2b8a10991763f","1","1","1","100%","1","1","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/czyw/shiti_id_3f23378c57b234322eba194244ab0bc9","1","1","1","100%","1","1","100%"," 00:02:00","1",
8,"http://www.1010jiajiao.com/czyw/shiti_id_21e55ab084812df83b7cd7624edfcde6","1","1","0","0%","1","1","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/czyw/shiti_id_c410d3bd47fd5004fd1ef39c45dd3938/?_t_t_t=0.04261612450291241","1","1","1","100%","1","1","100%"," 00:00:25","1",
10,"http://www.1010jiajiao.com/czyw/shiti_id_a2279dff39063d67f546173fecd2ff14","1","1","1","100%","1","1","100%"," 00:01:13","1",
11,"http://www.1010jiajiao.com/czyw/shiti_page_58172","1","1","0","0%","1","7","0%"," 00:07:12","7",
12,"http://www.1010jiajiao.com/czyw/shiti_id_ccf86c5fb3b00c5e9cec422b9ccc3af0","1","1","0","0%","1","2","0%"," 00:30:10","2",
13,"http://www.1010jiajiao.com/czyw/shiti_id_0c9a0b5a1e24e866e790218e6511a2cc","1","1","1","100%","1","1","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/czyw/shiti_id_78052acbc36caeec88bfc7f0ecfee90d","1","1","1","100%","1","1","100%"," 00:00:12","1",
15,"http://www.1010jiajiao.com/czyw/shiti_id_1b53cab0315a2db3077be99b59935f3c","1","1","1","100%","1","1","100%"," 00:00:18","1",
16,"http://www.1010jiajiao.com/czyw/shiti_page_20049","1","1","0","0%","1","1","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/czyw/shiti_id_3d7a99576c1b8580605da00a2c8d29c5","1","1","0","0%","1","3","0%"," 00:05:49","3",
18,"http://www.1010jiajiao.com/czyw/shiti_id_d0a11d43ee008100ecdf264e197af8ea","1","1","0","0%","1","1","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/czyw/shiti_id_cd4afe267dc784c24c8341ab59a9ba74","1","1","0","0%","1","1","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/czyw/shiti_id_5653e2ce21c79daf4c25c9bed5a39b8f","1","1","0","0%","1","1","100%"," 00:02:00","1",
21,"http://www.1010jiajiao.com/czyw/shiti_id_a5fcf96675192d62d5e1d258d70629a9","1","1","0","0%","1","1","100%"," 00:02:00","1",
22,"http://www.1010jiajiao.com/czyw/shiti_id_1dbe3bc8d1783992d1832b363fa27382","1","1","1","100%","1","1","100%"," 00:02:00","1",
23,"http://www.1010jiajiao.com/czyw/shiti_id_9d0219001f9b8d3ce7cbf442dc92a018","1","1","1","100%","1","1","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/czyw/shiti_id_ab897372d196127d6f4a64e966679089","1","1","0","0%","1","1","100%"," 00:02:00","1",
25,"http://www.1010jiajiao.com/czyw/shiti_id_478fa05f0477b341ef99f13fc4373f84","1","1","1","100%","1","1","100%"," 00:02:00","1",
26,"http://www.1010jiajiao.com/czyw/shiti_id_6fd2467584604f3aa3527e70075c5b1e","1","1","1","100%","1","1","100%"," 00:02:00","1",
27,"http://www.1010jiajiao.com/czyw/shiti_id_5617107dc5d57664fa1d36aa4511ef09","1","1","1","100%","1","2","0%"," 00:00:38","2",
28,"http://www.1010jiajiao.com/czyw/shiti_id_7eaee3495727dba1a89965ad1317fdeb","1","1","1","100%","1","1","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/czyw/shiti_id_d2159188bf2c748acab24207dbf4e76a","1","1","1","100%","1","2","0%"," 00:03:40","2",
30,"http://www.1010jiajiao.com/czyw/shiti_id_d25a51869e6d85b3566e24cab21f4c6e","1","1","0","0%","1","1","100%"," 00:02:00","1",
31,"http://www.1010jiajiao.com/czyw/shiti_id_444177f62301c9124e98faa48784652c","1","1","0","0%","1","1","100%"," 00:01:47","1",
32,"http://www.1010jiajiao.com/czyw/shiti_id_1e46c220211c378cfcec223a70614f0d","1","1","1","100%","1","1","100%"," 00:02:00","1",
33,"http://www.1010jiajiao.com/czyw/shiti_id_b0702ec43c39a6b34f404589ee4c4214","1","1","1","100%","1","2","0%"," 00:02:52","2",
34,"http://www.1010jiajiao.com/czyw/shiti_id_9d99f1d9ca79786831ed3e20ba085b37","1","1","1","100%","1","1","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/czyw/shiti_id_75ef2d61c53fd74b41e8dfe59804f6f6","1","1","1","100%","1","1","100%"," 00:02:00","1",
36,"http://www.1010jiajiao.com/czyw/shiti_id_048df939164fc781aa9bebfbeec363ca","1","1","0","0%","1","4","0%"," 00:02:49","4",
37,"http://www.1010jiajiao.com/czyw/shiti_id_6a5494c71d4d8b2f90e96ba56b57e6b8","1","1","0","0%","1","2","0%"," 00:00:42","2",
38,"http://www.1010jiajiao.com/czyw/shiti_id_19ae90d469793d96cbb738fcbdb3740b","1","1","1","100%","1","3","0%"," 00:05:37","3",
39,"http://www.1010jiajiao.com/czyw/shiti_id_40a3ba38f0a0af34b18247e1aeb06483","1","1","1","100%","1","1","100%"," 00:02:00","1",
40,"http://www.1010jiajiao.com/czyw/shiti_id_9c4523f4ded33a8cd5357fe51558d179","1","1","1","100%","1","2","0%"," 00:05:06","2",
41,"http://www.1010jiajiao.com/czyw/shiti_id_8ed0cbf580f8bbb996dd7bad689c2ede","1","1","1","100%","1","3","0%"," 00:00:21","3",
42,"http://www.1010jiajiao.com/czyw/shiti_id_1915b033d5c68f136bd9ff860e666250","1","1","0","0%","1","1","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/czyw/shiti_id_8d5dd9bc6a359cdc7ec6ef2b6a3883d2","1","1","0","0%","1","1","100%"," 00:02:00","1",
44,"http://www.1010jiajiao.com/czyw/shiti_id_8884029838a23199c2a3cd077673ac9e/?from=singlemessage","1","1","1","100%","1","1","100%"," 00:02:00","1",
45,"http://www.1010jiajiao.com/czyw/shiti_id_7a10a0e547679fd33f8f6d00a84155f4?_t_t_t=0.3487173109315336","1","1","1","100%","1","2","0%"," 00:02:26","2",
46,"http://www.1010jiajiao.com/czyw/shiti_id_017fa9a67252a0c9796f795ed7e818ee","1","1","0","0%","1","1","100%"," 00:02:00","1",
47,"http://www.1010jiajiao.com/czyw/shiti_id_99d732a54c741c0cd86219e24a7d4e2c","1","1","1","100%","1","1","100%"," 00:00:37","1",
