,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","31,737","29,899","18,583","62.15%","29,797","35,085","92.26%"," 00:02:13","1.11",
1,"http://www.1010jiajiao.com/gzzz/shiti_id_2707de25e902e53c1fb2b45a4849d3dc","243","242","198","81.82%","228","258","94.61%"," 00:02:09","1.06",
2,"http://www.1010jiajiao.com/gzzz/shiti_id_45b22634976add675ab130bb7d007ee8","236","175","155","88.57%","173","240","98.3%"," 00:02:03","1.02",
3,"http://www.1010jiajiao.com/gzzz/shiti_id_83c7c322ae4b93fe914f78db821d8d65","221","203","156","76.85%","204","230","96.76%"," 00:01:58","1.04",
4,"http://www.1010jiajiao.com/gzzz/shiti_id_b4c4168a4bdf63dc11c88806e1ca9e64","131","101","63","62.38%","101","136","96.15%"," 00:02:34","1.04",
5,"http://www.1010jiajiao.com/gzzz/shiti_id_657ade37207d8c804da7cc1082a6d166","122","111","92","82.88%","109","136","88.43%"," 00:00:54","1.11",
6,"http://www.1010jiajiao.com/gzzz/shiti_id_7a489187238b4bce23643eb0c629b568","120","114","82","71.93%","103","125","96.58%"," 00:02:16","1.04",
7,"http://www.1010jiajiao.com/gzzz/shiti_id_429bbaf7ee43ae67d98afaa46903d281","111","105","97","92.38%","98","125","87.27%"," 00:02:44","1.13",
8,"http://www.1010jiajiao.com/gzzz/shiti_page_41614","87","84","72","85.71%","82","92","95.35%"," 00:01:51","1.06",
9,"http://www.1010jiajiao.com/gzzz/shiti_id_c2703ab0e347f8b69ed82bcab547f0ec","76","74","43","58.11%","75","80","97.37%"," 00:02:02","1.05",
10,"http://www.1010jiajiao.com/gzzz/shiti_id_4fbc02a9a17c24d55ed3d3953c1cf8de","75","63","37","58.73%","63","86","87.84%"," 00:02:37","1.15",
11,"http://www.1010jiajiao.com/gzzz/shiti_id_ec58458703260382fa736f23d9718f98","69","65","35","53.85%","65","70","98.55%"," 00:02:06","1.01",
12,"http://www.1010jiajiao.com/gzzz/shiti_id_b1498f47d0261e7947b8a5e24e88d85c","59","55","41","74.55%","53","63","94.92%"," 00:02:22","1.07",
13,"http://www.1010jiajiao.com/gzzz/shiti_id_507785e6715033e0f3a6cdd5a56f98f7","57","46","38","82.61%","46","62","98.25%"," 00:01:41","1.09",
14,"http://www.1010jiajiao.com/gzzz/shiti_id_7cc289b909b8bae5cb5707f7e01a0ea3","57","46","25","54.35%","46","60","94.64%"," 00:03:03","1.05",
15,"http://www.1010jiajiao.com/gzzz/shiti_id_421fac7bb288d6e9330bab9369692d3b","56","52","37","71.15%","42","61","91.07%"," 00:02:02","1.09",
16,"http://www.1010jiajiao.com/gzzz/shiti_id_dafdf4fbaa652e4e8b3632a4d8018387","54","53","45","84.91%","53","55","98.15%"," 00:01:54","1.02",
17,"http://www.1010jiajiao.com/gzzz/shiti_id_172351588bf206e22b581664345d0ced","53","50","33","66%","49","54","98.11%"," 00:02:03","1.02",
18,"http://www.1010jiajiao.com/gzzz/shiti_id_d228b81fbae597fdfa1eb5e06121ac44","52","48","40","83.33%","46","60","86.54%"," 00:02:20","1.15",
19,"http://www.1010jiajiao.com/gzzz/shiti_id_ce13dae1b446e014c968439aa6211b29","51","43","39","90.7%","41","52","97.92%"," 00:01:34","1.02",
20,"http://www.1010jiajiao.com/gzzz/shiti_id_93fb93208b5f95b7f8e36f2df8bf0894","50","39","30","76.92%","37","54","92%"," 00:03:58","1.08",
21,"http://www.1010jiajiao.com/gzzz/shiti_id_02617b6a0662003b058c0c3ad2a39610","49","47","44","93.62%","45","51","95.92%"," 00:01:21","1.04",
22,"http://www.1010jiajiao.com/gzzz/shiti_id_6b532d354662176df679f5f7647ce3b9","47","41","23","56.1%","41","51","93.62%"," 00:01:38","1.09",
23,"http://www.1010jiajiao.com/gzzz/shiti_id_159fa36b50c9bb024073fdbf8528cd85","45","41","23","56.1%","41","49","91.11%"," 00:03:14","1.09",
24,"http://www.1010jiajiao.com/gzzz/shiti_id_f6826ffeed781b189655d32190bbc9ae","44","39","29","74.36%","40","45","97.73%"," 00:01:47","1.02",
25,"http://www.1010jiajiao.com/gzzz/shiti_id_502b7b48a5eedd8436851fc21ba55154","42","41","18","43.9%","41","43","97.62%"," 00:01:55","1.02",
26,"http://www.1010jiajiao.com/gzzz/shiti_id_11e2c4600b927a41b25da91b59fb0cc6","41","35","23","65.71%","31","45","90.24%"," 00:03:42","1.1",
27,"http://www.1010jiajiao.com/gzzz/index.php","40","40","17","42.5%","40","44","92.5%"," 00:00:49","1.1",
28,"http://www.1010jiajiao.com/gzzz/shiti_id_78ae4d93cc9375de9ad7ed6c0acd71ca","39","32","26","81.25%","32","40","97.37%"," 00:02:08","1.03",
29,"http://www.1010jiajiao.com/gzzz/shiti_id_6f1d38c9acf98a7ef4539bc911499c6b","38","31","25","80.65%","30","40","94.12%"," 00:02:29","1.05",
30,"http://www.1010jiajiao.com/gzzz/shiti_id_395b191bd7e8bb8c795543436838b964","38","37","29","78.38%","37","40","94.74%"," 00:02:34","1.05",
31,"http://www.1010jiajiao.com/gzzz/shiti_id_254a56d1f24687bfea81b7ee889109f9","37","30","25","83.33%","30","38","97.3%"," 00:01:53","1.03",
32,"http://www.1010jiajiao.com/gzzz/shiti_id_81250d55c53dda2ce723dce9c5576ade","34","34","19","55.88%","34","35","97.06%"," 00:01:46","1.03",
33,"http://www.1010jiajiao.com/gzzz/shiti_id_27a4f2f2e0feb60916cbc1e6e87eb01f","33","32","18","56.25%","28","38","90.91%"," 00:02:32","1.15",
34,"http://www.1010jiajiao.com/gzzz/shiti_id_f6e7dfdefa623498700e714ba468aea8","33","33","33","100%","33","33","100%"," 00:00:04","1",
35,"http://www.1010jiajiao.com/gzzz/shiti_id_295e2d4f07a30d7ef35b8b58236e77b6","33","30","16","53.33%","30","36","90.91%"," 00:02:58","1.09",
36,"http://www.1010jiajiao.com/gzzz/shiti_id_5507464c72abe0127c328af0c5539ff1","32","31","16","51.61%","31","34","93.75%"," 00:01:34","1.06",
37,"http://www.1010jiajiao.com/gzzz/shiti_id_2fd99cf9b03345e9911744e58c33e9e7","32","30","18","60%","30","38","80.65%"," 00:01:30","1.19",
38,"http://www.1010jiajiao.com/gzzz/shiti_id_c7576029f261eb3d952af7dff1758c25","31","29","29","100%","28","31","100%"," 00:00:48","1",
39,"http://www.1010jiajiao.com/gzzz/shiti_id_4f9daa9ab580c628e060b0ac19acfbff","31","30","24","80%","30","53","67.74%"," 00:04:06","1.71",
