,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","188,967","162,521","87,227","53.67%","162,268","206,736","93.13%"," 00:01:53","1.09",
1,"http://www.1010jiajiao.com/timu3_id_4419753","1","1","0","0%","1","1","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/timu3_id_1343265","1","1","1","100%","1","1","100%"," 00:00:11","1",
3,"http://www.1010jiajiao.com/timu3_id_7151","1","1","0","0%","1","1","100%"," 00:02:00","1",
4,"http://www.1010jiajiao.com/timu3_id_3669456","1","1","1","100%","1","1","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/timu3_id_434839","1","1","1","100%","1","1","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/timu3_id_145518","1","1","0","0%","1","1","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/timu3_id_4294908","1","1","0","0%","1","1","100%"," 00:02:00","1",
8,"http://www.1010jiajiao.com/timu3_id_3823957?_t_t_t=0.23444487364031374","1","1","1","100%","1","1","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/timu3_id_3881717","1","1","1","100%","1","1","100%"," 00:02:00","1",
10,"http://www.1010jiajiao.com/timu3_id_3305198","1","1","0","0%","1","2","0%"," 00:00:36","2",
11,"http://www.1010jiajiao.com/timu3_id_3429565","1","1","1","100%","1","1","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/timu3_id_2871183","1","1","1","100%","1","1","100%"," 00:02:00","1",
13,"http://www.1010jiajiao.com/timu3_id_4079289","1","1","0","0%","1","1","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/timu3_id_473078","1","1","0","0%","1","1","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/timu3_id_2276881","1","1","1","100%","1","2","0%"," 00:06:19","2",
16,"http://www.1010jiajiao.com/timu3_page_357041","1","1","1","100%","1","1","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/timu3_id_1987984","1","1","0","0%","1","1","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/timu3_id_1324570","1","1","1","100%","1","1","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/timu3_id_4023508","1","1","1","100%","1","1","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/timu3_id_4342729","1","1","1","100%","1","1","100%"," 00:00:29","1",
21,"http://www.1010jiajiao.com/timu3_id_2410102","1","1","1","100%","1","1","100%"," 00:02:00","1",
22,"http://www.1010jiajiao.com/timu3_id_3428751","1","1","0","0%","1","1","100%"," 00:02:00","1",
23,"http://www.1010jiajiao.com/timu3_id_2137914","1","1","1","100%","1","1","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/timu3_id_27825","1","1","1","100%","1","2","0%"," 00:09:58","2",
25,"http://www.1010jiajiao.com/timu3_id_4249062/?_t_t_t=0.18288347544148564","1","1","1","100%","1","1","100%"," 00:02:00","1",
26,"http://www.1010jiajiao.com/timu3_id_2902291","1","1","0","0%","1","1","100%"," 00:00:31","1",
27,"http://www.1010jiajiao.com/timu3_id_2958112?_t=t","1","1","1","100%","1","1","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/timu3_id_1299968","1","1","0","0%","1","1","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/timu3_id_4368706","1","1","1","100%","1","1","100%"," 00:00:10","1",
30,"http://www.1010jiajiao.com/timu3_id_3620141","1","1","0","0%","1","1","100%"," 00:02:00","1",
31,"http://www.1010jiajiao.com/timu3_id_2989362","1","1","0","0%","1","1","100%"," 00:02:00","1",
32,"http://www.1010jiajiao.com/timu3_id_3805262","1","1","1","100%","1","1","100%"," 00:01:17","1",
33,"http://www.1010jiajiao.com/timu3_id_4095656","1","1","0","0%","1","2","0%"," 00:13:18","2",
34,"http://www.1010jiajiao.com/timu3_id_3803980","1","1","0","0%","1","1","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/timu3_id_2898299","1","1","1","100%","1","1","100%"," 00:02:00","1",
36,"http://www.1010jiajiao.com/timu3_id_602573","1","1","1","100%","1","1","100%"," 00:02:00","1",
37,"http://www.1010jiajiao.com/timu3_id_397728","1","1","1","100%","1","1","100%"," 00:02:00","1",
38,"http://www.1010jiajiao.com/timu3_id_3099027","1","1","0","0%","1","1","100%"," 00:00:01","1",
39,"http://www.1010jiajiao.com/timu3_id_4019171","1","1","0","0%","1","5","0%"," 00:31:03","5",
40,"http://www.1010jiajiao.com/timu3_id_3013060","1","1","0","0%","1","1","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/timu3_id_4122700?_t_t_t=0.9927258497583713","1","1","0","0%","1","2","0%"," 00:02:00","2",
42,"http://www.1010jiajiao.com/timu3_id_4282682","1","1","0","0%","1","1","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/timu3_id_3809114","1","1","1","100%","1","3","0%"," 00:00:42","3",
44,"http://www.1010jiajiao.com/timu3_id_4305620","1","1","1","100%","1","1","100%"," 00:00:10","1",
45,"http://www.1010jiajiao.com/timu3_id_1097987","1","1","0","0%","1","1","100%"," 00:00:08","1",
46,"http://www.1010jiajiao.com/timu3_id_3130706","1","1","0","0%","1","1","100%"," 00:00:17","1",
47,"http://www.1010jiajiao.com/timu3_id_647442","1","1","1","100%","1","1","100%"," 00:02:00","1",
48,"http://www.1010jiajiao.com/timu3_id_4063300","1","1","1","100%","1","1","100%"," 00:00:08","1",
49,"http://www.1010jiajiao.com/timu3_id_1137575","1","1","1","100%","1","1","100%"," 00:02:00","1",
50,"http://www.1010jiajiao.com/timu3_id_1364758","1","1","0","0%","1","1","100%"," 00:02:00","1",
51,"http://www.1010jiajiao.com/timu3_id_2912995","1","1","0","0%","1","1","100%"," 00:02:00","1",
52,"http://www.1010jiajiao.com/timu3_id_1681653","1","1","1","100%","1","1","100%"," 00:02:00","1",
53,"http://www.1010jiajiao.com/timu3_id_4129070","1","1","1","100%","1","1","100%"," 00:02:00","1",
54,"http://www.1010jiajiao.com/timu3_id_1302169","1","1","1","100%","1","1","100%"," 00:02:00","1",
55,"http://www.1010jiajiao.com/timu3_id_3765959","1","1","1","100%","1","1","100%"," 00:02:00","1",
56,"http://www.1010jiajiao.com/timu3_id_4442004","1","1","0","0%","1","2","0%"," 00:00:16","2",
57,"http://www.1010jiajiao.com/timu3_id_347233","1","1","1","100%","1","2","0%"," 00:00:55","2",
58,"http://www.1010jiajiao.com/timu3_id_4195384","1","1","0","0%","1","1","100%"," 00:02:00","1",
59,"http://www.1010jiajiao.com/timu3_id_4058270","1","1","1","100%","1","1","100%"," 00:02:00","1",
60,"http://www.1010jiajiao.com/timu3_id_1448431","1","1","1","100%","1","1","100%"," 00:02:00","1",
61,"http://www.1010jiajiao.com/timu3_id_4265466","1","1","0","0%","1","1","100%"," 00:02:00","1",
62,"http://www.1010jiajiao.com/timu3_id_4363790","1","1","0","0%","1","1","100%"," 00:01:03","1",
63,"http://www.1010jiajiao.com/timu3_id_3651568","1","1","1","100%","1","1","100%"," 00:02:00","1",
64,"http://www.1010jiajiao.com/timu3_id_3382993","1","1","1","100%","1","1","100%"," 00:02:00","1",
65,"http://www.1010jiajiao.com/timu3_id_2469884","1","1","0","0%","1","1","100%"," 00:02:00","1",
66,"http://www.1010jiajiao.com/timu3_id_3406058","1","1","1","100%","1","1","100%"," 00:02:00","1",
67,"http://www.1010jiajiao.com/timu3_id_3386246","1","1","1","100%","1","2","0%"," 00:00:10","2",
68,"http://www.1010jiajiao.com/timu3_id_2377581","1","1","0","0%","1","1","100%"," 00:02:00","1",
69,"http://www.1010jiajiao.com/timu3_id_2124200","1","1","0","0%","1","1","100%"," 00:02:00","1",
70,"http://www.1010jiajiao.com/timu3_id_1414980","1","1","1","100%","1","1","100%"," 00:02:00","1",
71,"http://www.1010jiajiao.com/timu3_id_4273021","1","1","1","100%","1","1","100%"," 00:02:00","1",
72,"http://www.1010jiajiao.com/timu3_id_4440192","1","1","0","0%","1","1","100%"," 00:02:00","1",
73,"http://www.1010jiajiao.com/timu3_id_53496","1","1","0","0%","1","1","100%"," 00:02:00","1",
74,"http://www.1010jiajiao.com/timu3_id_3243434","1","1","0","0%","1","1","100%"," 00:02:00","1",
75,"http://www.1010jiajiao.com/timu3_id_241818","1","1","0","0%","1","1","100%"," 00:02:00","1",
76,"http://www.1010jiajiao.com/timu3_id_4446643","1","1","1","100%","1","3","0%"," 00:00:21","3",
77,"http://www.1010jiajiao.com/timu3_id_3211410","1","1","1","100%","1","1","100%"," 00:02:00","1",
78,"http://www.1010jiajiao.com/timu3_id_4439056","1","1","0","0%","1","1","100%"," 00:02:00","1",
79,"http://www.1010jiajiao.com/timu3_id_4312707","1","1","1","100%","1","1","100%"," 00:00:11","1",
80,"http://www.1010jiajiao.com/timu3_id_4068179","1","1","1","100%","1","1","100%"," 00:00:23","1",
81,"http://www.1010jiajiao.com/timu3_id_2598691","1","1","0","0%","1","1","100%"," 00:02:00","1",
82,"http://www.1010jiajiao.com/timu3_page_201087","1","1","0","0%","1","2","0%"," 00:00:06","2",
83,"http://www.1010jiajiao.com/timu3_id_4373163","1","1","1","100%","1","1","100%"," 00:02:00","1",
84,"http://www.1010jiajiao.com/timu3_id_2757911","1","1","0","0%","1","1","100%"," 00:02:00","1",
85,"http://www.1010jiajiao.com/timu3_id_1736952","1","1","1","100%","1","1","100%"," 00:00:09","1",
86,"http://www.1010jiajiao.com/timu3_id_3055502","1","1","0","0%","1","1","100%"," 00:02:00","1",
87,"http://www.1010jiajiao.com/timu3_id_2428001/?_t_t_t=0.015462954761460423","1","1","1","100%","1","1","100%"," 00:02:00","1",
88,"http://www.1010jiajiao.com/timu3_id_4017597","1","1","0","0%","1","1","100%"," 00:02:00","1",
89,"http://www.1010jiajiao.com/timu3_id_1496342","1","1","0","0%","1","1","100%"," 00:02:00","1",
90,"http://www.1010jiajiao.com/timu3_id_2508521","1","1","1","100%","1","1","100%"," 00:02:00","1",
91,"http://www.1010jiajiao.com/timu3_id_3815131","1","1","0","0%","1","1","100%"," 00:00:15","1",
92,"http://www.1010jiajiao.com/timu3_id_2150197","1","1","0","0%","1","1","100%"," 00:02:00","1",
93,"http://www.1010jiajiao.com/timu3_id_4311158","1","1","0","0%","1","1","100%"," 00:02:00","1",
94,"http://www.1010jiajiao.com/timu3_id_4421576/?_t_t_t=0.9752851342782378","1","1","1","100%","1","1","100%"," 00:00:03","1",
95,"http://www.1010jiajiao.com/timu3_id_4332499","1","1","0","0%","1","1","100%"," 00:02:00","1",
96,"http://www.1010jiajiao.com/timu3_id_4295494","1","1","0","0%","1","1","100%"," 00:02:00","1",
97,"http://www.1010jiajiao.com/timu3_id_3409491","1","1","0","0%","1","1","100%"," 00:02:00","1",
98,"http://www.1010jiajiao.com/timu3_id_3712496","1","1","0","0%","1","1","100%"," 00:02:00","1",
99,"http://www.1010jiajiao.com/timu3_id_3772427","1","1","1","100%","1","1","100%"," 00:02:00","1",
