,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","3,298","3,103","1,943","62.62%","3,092","3,586","93.52%"," 00:01:54","1.09",
1,"http://www.1010jiajiao.com/xxyy/index.php","85","85","53","62.35%","85","99","87.06%"," 00:00:50","1.16",
2,"http://www.1010jiajiao.com/xxyy/shiti_id_aabfca0ddb63a83a7ec8ff2f5429949d","25","25","25","100%","7","25","100%"," 00:00:35","1",
3,"http://www.1010jiajiao.com/xxyy/shiti_id_f98676e46bd01513d7861d5412b3cf1f","21","19","14","73.68%","19","22","95.24%"," 00:01:55","1.05",
4,"http://www.1010jiajiao.com/xxyy/shiti_id_809aaf6563567e28a9b48d63532b13cf","12","11","8","72.73%","11","12","100%"," 00:01:48","1",
5,"http://www.1010jiajiao.com/xxyy/shiti_id_24ed050879c534b2bc31f8ee31011873","11","3","2","66.67%","3","11","100%"," 00:00:37","1",
6,"http://www.1010jiajiao.com/xxyy/shiti_id_93feed9e4f20b76d1c576238e5487f04","10","9","6","66.67%","10","10","100%"," 00:01:54","1",
7,"http://www.1010jiajiao.com/xxyy/shiti_id_1824a528a680f8658ab4953c718c138c","9","8","3","37.5%","8","9","100%"," 00:01:23","1",
8,"http://www.1010jiajiao.com/xxyy/shiti_id_c0c8b0224a403fdfd308116e972e85be","8","7","5","71.43%","7","8","100%"," 00:01:53","1",
9,"http://www.1010jiajiao.com/xxyy/shiti_id_3e84a99f546722edd93d88c983b60183","8","7","4","57.14%","7","8","100%"," 00:01:32","1",
10,"http://www.1010jiajiao.com/xxyy/shiti_id_c581694df5dba1d0d49536669c1d6c37","8","5","3","60%","5","9","87.5%"," 00:06:16","1.13",
11,"http://www.1010jiajiao.com/xxyy/shiti_id_3ecfceb899828025f80aad7b8d578953","8","8","4","50%","8","8","100%"," 00:01:46","1",
12,"http://www.1010jiajiao.com/xxyy/shiti_id_521a4282b691ecf44df05cc1525d9e57","7","7","3","42.86%","7","7","100%"," 00:01:37","1",
13,"http://www.1010jiajiao.com/xxyy/shiti_id_cee7f798865ab4248451d0c0703dee09","7","4","1","25%","4","7","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/xxyy/shiti_id_3cd37ea4c6f9cc25d174789a2bb056e1","7","6","4","66.67%","6","8","85.71%"," 00:01:57","1.14",
15,"http://www.1010jiajiao.com/xxyy/shiti_id_a92818593cef6e085af1ba9067cff0e9","6","5","3","60%","5","6","100%"," 00:01:21","1",
16,"http://www.1010jiajiao.com/xxyy/shiti_id_9841d836238c25b23ad9b1d7d25f7d86","6","6","2","33.33%","6","6","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/xxyy/shiti_id_156def5403aec0ab0489908e0e525f96","6","6","4","66.67%","6","6","100%"," 00:01:40","1",
