,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","28,749","27,144","10,564","38.92%","27,174","32,709","90.26%"," 00:02:28","1.14",
1,"http://www.1010jiajiao.com/czwl/shiti_page_101411","1","1","1","100%","1","1","100%"," 00:00:07","1",
2,"http://www.1010jiajiao.com/czwl/shiti_id_f121291dc7085e08e832ef378c479b8c","1","1","0","0%","1","1","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/czwl/shiti_id_101e3549127865b5defdc202f050166e","1","1","1","100%","1","1","100%"," 00:02:00","1",
4,"http://www.1010jiajiao.com/czwl/shiti_id_23b1e8c7a72ae5ffd45863deaba1932d","1","1","0","0%","1","1","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/czwl/shiti_id_b32e31101e333462ae3b085dd14f3559","1","1","0","0%","1","1","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/czwl/shiti_id_08cd185dc264c430579323778ef1b15c","1","1","1","100%","1","1","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/czwl/shiti_id_ed989a83b56f173bc9ee1e8f50a6075d","1","1","0","0%","1","1","100%"," 00:00:15","1",
8,"http://www.1010jiajiao.com/czwl/shiti_id_7d12d002ec28574c94090bfa3b730661","1","1","0","0%","1","1","100%"," 00:00:11","1",
9,"http://www.1010jiajiao.com/czwl/shiti_id_e5a160ec008209e4b79dd0cbbabfecb6","1","1","1","100%","1","1","100%"," 00:00:17","1",
10,"http://www.1010jiajiao.com/czwl/shiti_id_4078faabcd9833c8d4032dca88975d94","1","1","0","0%","1","1","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/czwl/shiti_id_18608f4ba7643d70917085dc2fa48d5e","1","1","0","0%","1","1","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/czwl/shiti_id_ac9ee3d374332d89b7c9ddb20501f069","1","1","0","0%","1","1","100%"," 00:02:00","1",
13,"http://www.1010jiajiao.com/czwl/shiti_page_73421","1","1","0","0%","1","1","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/czwl/shiti_page_169578","1","1","0","0%","1","2","0%"," 00:01:04","2",
15,"http://www.1010jiajiao.com/czwl/shiti_id_644bf9add6e40481d3ce8334c128bf57","1","1","0","0%","1","1","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/czwl/shiti_id_ca99bf905323d0dfd2a015e993b0db32","1","1","0","0%","1","1","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/czwl/shiti_id_b7a850dc03fbea140f3807e81e9c105c","1","1","0","0%","1","1","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/czwl/shiti_id_1fda367414b9d7ffa8d03c8fa4451ddd","1","1","0","0%","1","1","100%"," 00:05:43","1",
19,"http://www.1010jiajiao.com/czwl/shiti_id_4e01178016fd788d8c101efc613fde40","1","1","0","0%","1","1","100%"," 00:00:06","1",
20,"http://www.1010jiajiao.com/czwl/shiti_id_94bc73a2ef15f07eb55d3e235318cbe8","1","1","0","0%","1","1","100%"," 00:02:00","1",
21,"http://www.1010jiajiao.com/czwl/shiti_id_743275e8ffb999c056a61028afa803a6","1","1","0","0%","1","1","100%"," 00:00:59","1",
22,"http://www.1010jiajiao.com/czwl/shiti_id_1c0d3ad39f9d95fc24ea0e84b02b7a7c?spm=0.0.0.0.BIJh30","1","1","1","100%","1","1","100%"," 00:02:00","1",
23,"http://www.1010jiajiao.com/czwl/shiti_id_c8a35c47ffc3d677cccb5884441eb61b","1","1","0","0%","1","1","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/czwl/shiti_id_a1140458e989bd931bab7ee3fb28372e","1","1","0","0%","1","1","100%"," 00:02:00","1",
25,"http://www.1010jiajiao.com/czwl/shiti_id_8bb962405119861fa012a0fe21064a32","1","1","0","0%","1","2","0%"," 00:00:22","2",
26,"http://www.1010jiajiao.com/czwl/shiti_id_e8b6be2987bdd1f0a06e704b21fb8124","1","1","1","100%","1","3","0%"," 00:05:44","3",
27,"http://www.1010jiajiao.com/czwl/shiti_id_f01bc41512b42aab3765ecf01c86434b?_t_t_t=0.3592167179879814","1","1","0","0%","1","1","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/czwl/shiti_id_e5ff661d571d620da7414e207a622b62","1","1","1","100%","1","1","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/czwl/shiti_id_889cba55f411be077c2b4b949ebf453c","1","1","0","0%","1","1","100%"," 00:02:00","1",
30,"http://www.1010jiajiao.com/czwl/shiti_id_8775813fa033eb8144e00136dc0c4afc","1","1","1","100%","1","1","100%"," 00:02:00","1",
31,"http://www.1010jiajiao.com/czwl/shiti_id_121218c80fa3605f1f209773ffbe7b0b","1","1","1","100%","1","1","100%"," 00:02:00","1",
32,"http://www.1010jiajiao.com/czwl/shiti_id_1b78e165fc654b12576866f0468105c8","1","1","1","100%","1","1","100%"," 00:02:00","1",
33,"http://www.1010jiajiao.com/czwl/shiti_id_cbfb3dabb5f9ed9ade860d7654540121","1","1","0","0%","1","1","100%"," 00:02:00","1",
34,"http://www.1010jiajiao.com/czwl/shiti_id_fe42e51e1d93781d51ef3748030b5907","1","1","0","0%","1","1","100%"," 00:07:49","1",
35,"http://www.1010jiajiao.com/czwl/shiti_id_17ab6745455d1b937b8f1ce0910400d2","1","1","1","100%","1","1","100%"," 00:02:00","1",
36,"http://www.1010jiajiao.com/czwl/shiti_id_3eb386c39a213918c6634de640cbe773","1","1","1","100%","1","1","100%"," 00:02:00","1",
37,"http://www.1010jiajiao.com/czwl/shiti_id_3d2293bcc206976745f86d8dbd880660","1","1","0","0%","1","1","100%"," 00:02:00","1",
38,"http://www.1010jiajiao.com/czwl/shiti_id_061c42cfb119d770422d7ae6d5d5c5d7","1","1","1","100%","1","1","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/czwl/shiti_id_33b65c922e8e026990b7ff88b01ec182","1","1","1","100%","1","1","100%"," 00:02:00","1",
40,"http://www.1010jiajiao.com/czwl/shiti_id_638135fab5bf2d9e8e9d1d354a0dae6a","1","1","0","0%","1","1","100%"," 00:04:55","1",
41,"http://www.1010jiajiao.com/czwl/shiti_id_7b3617a870235a7130986cded66d888b","1","1","1","100%","1","1","100%"," 00:02:00","1",
42,"http://www.1010jiajiao.com/czwl/shiti_id_41241b0ae1ba99654e36708be91ef965","1","1","0","0%","1","1","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/czwl/shiti_id_9df23d2bc2ccd1543914bff915e9b547","1","1","1","100%","1","1","100%"," 00:02:00","1",
44,"http://www.1010jiajiao.com/czwl/shiti_id_36d80e4ff9befbcac68fa5be8e513efe","1","1","1","100%","1","2","0%"," 00:02:31","2",
45,"http://www.1010jiajiao.com/czwl/shiti_id_265b11d05a75f11d31f8ace01818006d","1","1","1","100%","1","1","100%"," 00:02:00","1",
46,"http://www.1010jiajiao.com/czwl/shiti_id_22622e22179dd5ce706ef44b1a5063d3","1","1","0","0%","1","1","--","--","1",
47,"http://www.1010jiajiao.com/czwl/shiti_id_ad79f3ec81299f08b859844e75d25ff7","1","1","0","0%","1","1","100%"," 00:04:05","1",
48,"http://www.1010jiajiao.com/czwl/shiti_id_ddd4dbf8810914d7fd5dde0671c9d8f0","1","1","0","0%","1","1","--","--","1",
49,"http://www.1010jiajiao.com/czwl/shiti_id_9e92c065c71fad81e2dc3c2025437ac0","1","1","1","100%","1","1","100%"," 00:02:00","1",
50,"http://www.1010jiajiao.com/czwl/shiti_id_71d05a95d32b37258574cfc3154c30cf","1","1","0","0%","1","2","0%"," 00:00:16","2",
51,"http://www.1010jiajiao.com/czwl/shiti_id_360b796d30984df86c70ee2883316788","1","1","1","100%","1","1","100%"," 00:02:00","1",
52,"http://www.1010jiajiao.com/czwl/shiti_id_f2ddfb62e0ec368977d88e97af403dad","1","1","1","100%","1","1","100%"," 00:02:00","1",
53,"http://www.1010jiajiao.com/czwl/shiti_id_76707513cb7544b4499e107d301f11b7","1","1","0","0%","1","3","0%"," 00:05:22","3",
54,"http://www.1010jiajiao.com/czwl/shiti_id_87166a781ffe595305e7716683ad3bf6","1","1","1","100%","1","1","100%"," 00:02:00","1",
55,"http://www.1010jiajiao.com/czwl/shiti_page_166357","1","1","1","100%","1","1","100%"," 00:02:00","1",
