,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","15,444","14,616","9,365","64.07%","14,606","16,990","92.51%"," 00:02:12","1.1",
1,"http://www.1010jiajiao.com/czzz/shiti_id_1bb81e459ec95297a76859615b9b5684","162","153","118","77.12%","153","165","98.74%"," 00:01:42","1.02",
2,"http://www.1010jiajiao.com/czzz/shiti_id_fe8fed2f71cd78ac40aeb47927610c28","115","107","66","61.68%","107","117","98.26%"," 00:02:13","1.02",
3,"http://www.1010jiajiao.com/czzz/shiti_id_a136d1d64161ed4453087d1c52e43ff4","105","105","70","66.67%","100","118","90%"," 00:01:56","1.12",
4,"http://www.1010jiajiao.com/czzz/shiti_id_d59dc876c7dac91e7304fe7804125f7d","55","46","40","86.96%","47","63","90.74%"," 00:01:22","1.15",
5,"http://www.1010jiajiao.com/czzz/shiti_id_9fed642fce7c476bec6b24f461e7ce9f","48","42","28","66.67%","42","51","93.62%"," 00:01:46","1.06",
6,"http://www.1010jiajiao.com/czzz/shiti_id_98be8eb74eea46db89bb1dee800574ec","46","40","23","57.5%","41","49","92.68%"," 00:01:48","1.07",
7,"http://www.1010jiajiao.com/czzz/shiti_id_7ab70693fc0b20056ee3214dcff1047d","44","37","32","86.49%","37","53","86.05%"," 00:01:56","1.2",
8,"http://www.1010jiajiao.com/czzz/shiti_id_1f3483c4639dabb07cdd686f90291bdf","44","40","31","77.5%","37","44","100%"," 00:01:56","1",
9,"http://www.1010jiajiao.com/czzz/shiti_id_03b86f54d7569750178d8a1904e01d0c","42","38","32","84.21%","38","46","92.86%"," 00:02:28","1.1",
10,"http://www.1010jiajiao.com/czzz/index.php","40","40","24","60%","40","43","92.31%"," 00:00:47","1.08",
11,"http://www.1010jiajiao.com/czzz/shiti_id_d0509d028ff4fa5e1722eccbf70c6899","40","39","32","82.05%","39","43","97.44%"," 00:02:14","1.08",
12,"http://www.1010jiajiao.com/czzz/shiti_id_83e9dd2ef950c0e41fde69e47993aaa2","34","30","17","56.67%","31","34","100%"," 00:01:31","1",
13,"http://www.1010jiajiao.com/czzz/shiti_id_638f1ee014fbf581f7b1f11f4d7546dc","34","32","27","84.38%","32","34","100%"," 00:01:44","1",
14,"http://www.1010jiajiao.com/czzz/shiti_id_dc581e74fe7c058c13a72d84f1677b69","33","31","21","67.74%","31","34","96.88%"," 00:01:35","1.03",
15,"http://www.1010jiajiao.com/czzz/shiti_id_e31a90a2940feccd42713720390cdb9d","33","33","23","69.7%","33","34","96.88%"," 00:02:01","1.03",
16,"http://www.1010jiajiao.com/czzz/shiti_id_d79c275f7a7b8e4d9241b09bf75fa7f7","31","30","15","50%","30","31","100%"," 00:01:28","1",
17,"http://www.1010jiajiao.com/czzz/shiti_id_5743c2ffc16988f19c5c40da157997a8","29","20","15","75%","20","29","100%"," 00:01:55","1",
