,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","24,841","23,463","9,552","40.71%","23,476","28,648","90.22%"," 00:02:36","1.15",
1,"http://www.1010jiajiao.com/gzdl/shiti_id_7db669db326fc75da323b527c868820c","1","1","0","0%","1","1","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/gzdl/shiti_id_c11d52e7b9cc3062f6e5a26f83a1f3eb","1","1","1","100%","1","1","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/gzdl/shiti_id_c551d46905784aa4f82b5ebfe25c44b6","1","1","1","100%","1","1","100%"," 00:00:08","1",
4,"http://www.1010jiajiao.com/gzdl/shiti_id_f2dd1a1b2cf77590b090cd15bbf5fbbf","1","1","1","100%","1","1","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/gzdl/shiti_id_fe3b5efa439bd1b95e646bbce7cc3904","1","1","0","0%","1","1","100%"," 00:09:07","1",
6,"http://www.1010jiajiao.com/gzdl/shiti_id_df1f93604416a24180dddb70f603b22e","1","1","0","0%","1","3","0%"," 00:11:39","3",
7,"http://www.1010jiajiao.com/gzdl/shiti_id_1c5e0199adab99a831668bdbf008dfe1","1","1","0","0%","1","1","100%"," 00:00:36","1",
8,"http://www.1010jiajiao.com/gzdl/shiti_id_252dac2d51d85869ad23ab1c532bb40d","1","1","0","0%","1","1","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/gzdl/shiti_id_393cf4fb76a97de6738597ea326eec07","1","1","1","100%","1","3","0%"," 00:05:36","3",
10,"http://www.1010jiajiao.com/gzdl/shiti_id_c9d639ed9fba5cd3c38f9398fd3ce395","1","1","0","0%","1","1","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/gzdl/shiti_id_78ce498f7b9d946866ea9ba1829a9ac0","1","1","1","100%","1","1","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/gzdl/shiti_id_73583cf0b3f8e54eb78d1e5ff7140c6c","1","1","0","0%","1","1","100%"," 00:02:00","1",
13,"http://www.1010jiajiao.com/gzdl/shiti_id_eedbdb44a82c67cc9a8663be67c0fc02","1","1","0","0%","1","1","100%"," 00:00:08","1",
14,"http://www.1010jiajiao.com/gzdl/shiti_id_aab7102278286ffec9b77796b171e37d","1","1","1","100%","1","1","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/gzdl/shiti_id_7696e9bf7a210fbde34350ecd0df78f9","1","1","0","0%","1","1","100%"," 00:02:00","1",
