,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","33,564","31,532","13,387","42.46%","31,512","36,781","92.81%"," 00:02:21","1.1",
1,"http://www.1010jiajiao.com/gzhx/shiti_id_e358c5481c5247790500effa7061783a","62","55","53","96.36%","55","63","98.39%"," 00:01:34","1.02",
2,"http://www.1010jiajiao.com/gzhx/shiti_id_c51f50efed33665d3c99e46f60f61ff8","57","53","20","37.74%","22","58","98.25%"," 00:02:26","1.02",
3,"http://www.1010jiajiao.com/gzhx/shiti_id_487fe8b95f89979e46f4293c796b264f","50","46","28","60.87%","47","50","100%"," 00:01:43","1",
4,"http://www.1010jiajiao.com/gzhx/shiti_id_0bfc9d08024f926fefcbd47a384da565","47","37","16","43.24%","37","50","95.74%"," 00:01:55","1.06",
5,"http://www.1010jiajiao.com/gzhx/shiti_id_222f6057d6dbe3254105936ac8b2fe27","44","43","9","20.93%","9","46","95.45%"," 00:02:02","1.05",
6,"http://www.1010jiajiao.com/gzhx/shiti_id_054634b0c95c88614c64fe33894dcb71","43","38","20","52.63%","38","47","90.7%"," 00:02:51","1.09",
7,"http://www.1010jiajiao.com/gzhx/shiti_id_a0e2e088d3cb3673cf362ca1144655c6","43","39","19","48.72%","9","44","97.67%"," 00:01:13","1.02",
8,"http://www.1010jiajiao.com/gzhx/shiti_id_b83ed03d90983e685f5e1b1801d558e1","40","34","13","38.24%","32","41","97.5%"," 00:03:01","1.03",
9,"http://www.1010jiajiao.com/gzhx/shiti_id_235172ca08ba9d2f81af4f4338ae202f","38","32","21","65.63%","31","42","97.3%"," 00:02:06","1.11",
10,"http://www.1010jiajiao.com/gzhx/shiti_id_c656cd1daf7fe0c2fc58621c34beb7b9","37","36","16","44.44%","36","45","86.49%"," 00:01:33","1.22",
11,"http://www.1010jiajiao.com/gzhx/shiti_id_49a8a551e320efaff5fc341233324f98","34","28","20","71.43%","28","35","97.06%"," 00:02:52","1.03",
12,"http://www.1010jiajiao.com/gzhx/shiti_id_643ae1cb56c668a15b3e8942bb675e88","31","29","14","48.28%","29","31","100%"," 00:01:29","1",
13,"http://www.1010jiajiao.com/gzhx/shiti_id_945465fc74e186aae3b401db444b74e6","29","25","14","56%","25","29","100%"," 00:01:45","1",
14,"http://www.1010jiajiao.com/gzhx/shiti_id_3b7e0527543520074b1b2822a8d90ee2","29","21","11","52.38%","20","30","96.55%"," 00:01:58","1.03",
15,"http://www.1010jiajiao.com/gzhx/shiti_id_faf51145f0cd66b9740cb8b62802a215","28","23","14","60.87%","23","29","96.43%"," 00:02:06","1.04",
16,"http://www.1010jiajiao.com/gzhx/shiti_id_bf9a7a5665f32c1389e6dc1d74ad9455","28","27","13","48.15%","27","31","89.29%"," 00:01:46","1.11",
17,"http://www.1010jiajiao.com/gzhx/shiti_id_bb03faac0a6748f159f7da9fb1a6c371","28","26","13","50%","26","28","100%"," 00:01:49","1",
18,"http://www.1010jiajiao.com/gzhx/index.php","27","27","18","66.67%","27","29","92.59%"," 00:00:47","1.07",
19,"http://www.1010jiajiao.com/gzhx/shiti_id_b9863e5a0fa2de702bf22460eec23a2d","25","24","14","58.33%","24","27","92%"," 00:01:25","1.08",
20,"http://www.1010jiajiao.com/gzhx/shiti_id_397d9cf9bd74decf412c6394d5d4f3ad","22","21","6","28.57%","5","22","100%"," 00:02:45","1",
21,"http://www.1010jiajiao.com/gzhx/shiti_id_eb3c7a0aad7b8e5e75c951f289fdccf6","21","21","21","100%","7","21","100%"," 00:00:38","1",
22,"http://www.1010jiajiao.com/gzhx/shiti_id_5e964eb3fee0fada07f466f6f5d2530d","21","18","9","50%","19","23","90.48%"," 00:01:46","1.1",
23,"http://www.1010jiajiao.com/gzhx/shiti_id_301036848d625027226a700e9150e548","20","18","13","72.22%","20","21","95%"," 00:01:44","1.05",
24,"http://www.1010jiajiao.com/gzhx/shiti_id_df37728619affd9366566e7ef60d36be","19","17","9","52.94%","17","20","94.74%"," 00:03:32","1.05",
25,"http://www.1010jiajiao.com/gzhx/shiti_id_c5157b0ec43335861b51a78ab7c046e4","19","18","8","44.44%","18","21","94.74%"," 00:02:33","1.11",
26,"http://www.1010jiajiao.com/gzhx/shiti_id_c6fedbeee3d7e0e6c824f51d67290c7a","18","14","7","50%","14","19","94.44%"," 00:02:05","1.06",
27,"http://www.1010jiajiao.com/gzhx/shiti_id_a100f549a44ee317b69b9de285a8fc7c","18","12","5","41.67%","12","18","100%"," 00:02:00","1",
