,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","31,732","29,970","14,717","49.11%","29,963","35,423","91.43%"," 00:02:16","1.12",
1,"http://www.1010jiajiao.com/gzls/shiti_id_ea80ab5a3c92f176ed3d7e789a037024","1","1","1","100%","1","1","100%"," 00:00:08","1",
2,"http://www.1010jiajiao.com/gzls/shiti_id_3bceae4025898e80d7a888145acd15cd","1","1","0","0%","1","2","0%"," 00:40:35","2",
3,"http://www.1010jiajiao.com/gzls/shiti_id_62f4beea2fecd38e7c1c60032b6069fa","1","1","1","100%","1","1","100%"," 00:02:00","1",
4,"http://www.1010jiajiao.com/gzls/shiti_id_9610022028e38bdf3d65b051131aecbb","1","1","0","0%","1","1","100%"," 00:00:25","1",
5,"http://www.1010jiajiao.com/gzls/shiti_id_4dbb7634c7dcdbf747cabf0c661975e9","1","1","0","0%","1","1","--","--","1",
6,"http://www.1010jiajiao.com/gzls/shiti_id_32637fceaed39c1014302923ff671d25","1","1","1","100%","1","1","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/gzls/shiti_id_8e8633190ceb07771097d5a31b9741f3","1","1","0","0%","1","1","100%"," 00:00:14","1",
8,"http://www.1010jiajiao.com/gzls/shiti_id_6c0de36435f552965cad5a29d006a668","1","1","1","100%","1","1","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/gzls/shiti_id_1fbfb76746e5787de29187824abf4330","1","1","0","0%","1","1","--","--","1",
10,"http://www.1010jiajiao.com/gzls/shiti_id_6c9a3a0e6c6383021aa242ea30880981","1","1","0","0%","1","1","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/gzls/shiti_page_4365","1","1","0","0%","1","2","0%"," 00:00:04","2",
12,"http://www.1010jiajiao.com/gzls/shiti_id_551c1a6378f7db0d7cec091b51731b0c","1","1","0","0%","1","3","0%"," 00:07:04","3",
13,"http://www.1010jiajiao.com/gzls/shiti_id_2830948c38e77c64b43068fad7bfabd1","1","1","0","0%","1","1","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/gzls/shiti_id_b1902cabe5f0086dbe298473cb2989e6","1","1","1","100%","1","1","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/gzls/shiti_id_6bc4185b7e7cb65b97ea7cb184c406ad","1","1","0","0%","1","1","100%"," 00:00:50","1",
16,"http://www.1010jiajiao.com/gzls/shiti_id_004ec632b21c07a11443607c3e80567d","1","1","1","100%","1","1","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/gzls/shiti_id_fc87fa1569a62f23dd7262b3dd64d496","1","1","0","0%","1","1","100%"," 00:00:22","1",
18,"http://www.1010jiajiao.com/gzls/shiti_id_61ad9a63579922dac09150258cedd76c","1","1","0","0%","1","1","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/gzls/shiti_id_3c34db10564ee66c343b77e5686a0892","1","1","1","100%","1","1","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/gzls/shiti_page_20922","1","1","1","100%","1","1","100%"," 00:02:00","1",
21,"http://www.1010jiajiao.com/gzls/shiti_id_7ec5506363e0c83f8964e733fdf6d2a6","1","1","0","0%","1","1","100%"," 00:00:17","1",
22,"http://www.1010jiajiao.com/gzls/shiti_id_eda4c923baf620fdb145435701d7eabc","1","1","1","100%","1","1","100%"," 00:02:00","1",
23,"http://www.1010jiajiao.com/gzls/shiti_id_155db20313d6b4b4331c6c12e1ca2039","1","1","1","100%","1","3","0%"," 00:20:58","3",
24,"http://www.1010jiajiao.com/gzls/shiti_id_f6021765674e893df311fa3baaa93411","1","1","0","0%","1","1","100%"," 00:02:00","1",
25,"http://www.1010jiajiao.com/gzls/shiti_id_d47e1f64912c32cd537f26d8893c8a8b","1","1","0","0%","1","1","100%"," 00:00:09","1",
26,"http://www.1010jiajiao.com/gzls/shiti_id_3667e333eb64d23e8c52c06b97d2bfba","1","1","0","0%","1","1","100%"," 00:02:00","1",
27,"http://www.1010jiajiao.com/gzls/shiti_id_23ffd21c0dabee75fa49e2731f0723fb","1","1","0","0%","1","1","100%"," 00:00:41","1",
28,"http://www.1010jiajiao.com/gzls/shiti_id_174611b3cfef4ef6a5a9cc7f280e3d8e","1","1","0","0%","1","1","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/gzls/shiti_id_812338b91f731147ba5953b080e3bccc","1","1","1","100%","1","1","100%"," 00:02:00","1",
30,"http://www.1010jiajiao.com/gzls/shiti_id_28567663180269790c44d7df9105b4e9","1","1","0","0%","1","1","100%"," 00:02:00","1",
31,"http://www.1010jiajiao.com/gzls/shiti_id_2b7f969d17fb60b7f9c08786e8c734ab","1","1","0","0%","1","1","100%"," 00:00:46","1",
32,"http://www.1010jiajiao.com/gzls/shiti_id_2ca013a1ea1f379d4be6edbf1f2cd95d","1","1","1","100%","1","1","100%"," 00:00:15","1",
33,"http://www.1010jiajiao.com/gzls/shiti_id_17feb13b03db407968994fe297235e3f","1","1","0","0%","1","1","100%"," 00:00:03","1",
34,"http://www.1010jiajiao.com/gzls/shiti_id_70b9c2741670cfeaf40d267df4877596","1","1","0","0%","1","1","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/gzls/shiti_id_00ea784902977eb73c7cc60f5c511810","1","1","1","100%","1","1","100%"," 00:02:00","1",
36,"http://www.1010jiajiao.com/gzls/shiti_id_e319a7c681ea5126789b56a6d99a64b1","1","1","0","0%","1","1","100%"," 00:01:17","1",
37,"http://www.1010jiajiao.com/gzls/shiti_id_7a152e6b784ea471cf6297469a54179e","1","1","0","0%","1","1","100%"," 00:02:00","1",
38,"http://www.1010jiajiao.com/gzls/shiti_id_9021e668eb1c13b9c6e1553cf2ce563b","1","1","0","0%","1","1","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/gzls/shiti_id_aab104ce73b74c49ccd399a828c03a12","1","1","1","100%","1","1","100%"," 00:02:00","1",
40,"http://www.1010jiajiao.com/gzls/shiti_id_641cd51c94ac49b5e18aa08806c9fdd9","1","1","0","0%","1","2","0%"," 00:00:22","2",
41,"http://www.1010jiajiao.com/gzls/shiti_id_3cc4d4ea4e100064697649ee1e750ccc","1","1","1","100%","1","1","100%"," 00:02:00","1",
42,"http://www.1010jiajiao.com/gzls/shiti_page_60206","1","1","0","0%","1","1","--","--","1",
43,"http://www.1010jiajiao.com/gzls/shiti_id_b6b8f4a05b76afa96e70e7a28f594ec0","1","1","1","100%","1","1","100%"," 00:02:00","1",
44,"http://www.1010jiajiao.com/gzls/shiti_page_67825","1","1","0","0%","1","1","100%"," 00:02:00","1",
45,"http://www.1010jiajiao.com/gzls/shiti_id_c0aa86f45dc46aef955364913d8b032c","1","1","1","100%","1","1","100%"," 00:02:00","1",
46,"http://www.1010jiajiao.com/gzls/shiti_id_f7177d657ab97d8a722f3a82967d0bd6","1","1","1","100%","1","1","100%"," 00:00:22","1",
47,"http://www.1010jiajiao.com/gzls/shiti_page_67520","1","1","0","0%","1","1","100%"," 00:02:00","1",
48,"http://www.1010jiajiao.com/gzls/shiti_id_faaa19c95f41a70d3f3a10fc64bc10f3","1","1","0","0%","1","4","0%"," 00:10:06","4",
49,"http://www.1010jiajiao.com/gzls/shiti_id_e835a4d1098074321903bb0f8d250325","1","1","1","100%","1","1","100%"," 00:01:10","1",
50,"http://www.1010jiajiao.com/gzls/shiti_id_e3ffb562a8017975c217438ae16785f2","1","1","0","0%","1","1","100%"," 00:02:00","1",
51,"http://www.1010jiajiao.com/gzls/shiti_id_9b72a4b98fb069e93196cacee44f1faa","1","1","0","0%","1","1","100%"," 00:02:00","1",
52,"http://www.1010jiajiao.com/gzls/shiti_id_de0a8a9c7c48611418555c44baf4cd2a","1","1","0","0%","1","1","100%"," 00:02:00","1",
53,"http://www.1010jiajiao.com/gzls/shiti_id_ffb315863b47e174aba0ff24c2678569","1","1","0","0%","1","1","100%"," 00:02:00","1",
54,"http://www.1010jiajiao.com/gzls/shiti_id_1e5e092d39ec7ac25d97226e0a49748a","1","1","0","0%","1","1","--","--","1",
55,"http://www.1010jiajiao.com/gzls/shiti_id_01818161fa304f4bd21e3a3eaedffcb8","1","1","0","0%","1","1","100%"," 00:00:18","1",
56,"http://www.1010jiajiao.com/gzls/shiti_id_0c789f4c0d911249696333418c7c7b68","1","1","0","0%","1","1","100%"," 00:02:49","1",
57,"http://www.1010jiajiao.com/gzls/shiti_id_05a8617cdd1a9324bf1fcc01df0d2398","1","1","0","0%","1","1","100%"," 00:02:00","1",
58,"http://www.1010jiajiao.com/gzls/shiti_id_d17414540c49e915f1ac6d031955b5da","1","1","1","100%","1","1","100%"," 00:00:32","1",
59,"http://www.1010jiajiao.com/gzls/shiti_id_d37c57bfe655b3fd93fda4e1202fd43a","1","1","0","0%","1","1","100%"," 00:00:25","1",
60,"http://www.1010jiajiao.com/gzls/shiti_id_e5efd1e8a46189c4dc402d791d0c55ef","1","1","0","0%","1","3","0%"," 00:00:59","3",
61,"http://www.1010jiajiao.com/gzls/shiti_id_2eaab8d6f0b4e73f5d43ef553e995daf","1","1","1","100%","1","1","100%"," 00:00:08","1",
62,"http://www.1010jiajiao.com/gzls/shiti_id_8410396a278601e49103c294ce9626b7","1","1","1","100%","1","1","100%"," 00:02:00","1",
63,"http://www.1010jiajiao.com/gzls/shiti_id_65c0601d3f30245ef8dbdc0dc06503aa","1","1","1","100%","1","1","100%"," 00:02:00","1",
64,"http://www.1010jiajiao.com/gzls/shiti_id_fa5d86b9bda42611c34bff3185dba589","1","1","1","100%","1","1","100%"," 00:02:00","1",
