,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","36,460","34,365","13,736","39.97%","34,460","40,550","91.98%"," 00:02:25","1.11",
1,"http://www.1010jiajiao.com/gzsw/shiti_id_c968f5a5292e9f1e33795c8b08efb18e","101","100","87","87%","99","104","97.03%"," 00:01:01","1.03",
2,"http://www.1010jiajiao.com/gzsw/shiti_id_b492c770559bd307da49b1c9ad3de883","50","48","27","56.25%","47","50","100%"," 00:01:58","1",
3,"http://www.1010jiajiao.com/gzsw/shiti_id_8b3a34753f85cb62aaa1a787389bc951","49","42","33","78.57%","43","49","100%"," 00:01:44","1",
4,"http://www.1010jiajiao.com/gzsw/shiti_id_5282559827e4f4d025fbb45be6b76de6","48","45","36","80%","45","52","93.75%"," 00:01:52","1.08",
5,"http://www.1010jiajiao.com/gzsw/shiti_id_a2bee29633a90eb96539d67b06d0dfd6","45","44","29","65.91%","44","45","100%"," 00:02:06","1",
6,"http://www.1010jiajiao.com/gzsw/shiti_id_31f7759f027652acc9295657e95b8cc2","44","42","31","73.81%","42","63","65.91%"," 00:05:43","1.43",
7,"http://www.1010jiajiao.com/gzsw/shiti_id_2d6044faf5116b7a84801a0a6809b001","43","41","24","58.54%","42","44","97.67%"," 00:01:39","1.02",
8,"http://www.1010jiajiao.com/gzsw/shiti_id_d8a4aa23b1406dcb90959cf03ca481d3","39","39","35","89.74%","39","39","100%"," 00:01:52","1",
9,"http://www.1010jiajiao.com/gzsw/shiti_id_14c7c88aaf1f913d69953c584d881411","35","33","21","63.64%","33","36","97.06%"," 00:02:12","1.03",
10,"http://www.1010jiajiao.com/gzsw/shiti_id_9e23c8a27875279a5ff7aceee6bde9d8","33","32","26","81.25%","32","34","96.97%"," 00:02:05","1.03",
11,"http://www.1010jiajiao.com/gzsw/shiti_id_207ed1420d4bd28cdc956820bfbcd3c9","32","31","19","61.29%","31","36","87.1%"," 00:03:43","1.13",
12,"http://www.1010jiajiao.com/gzsw/shiti_id_4226d5cfcfcc2a4ce2963f02c67ed4c9","31","29","22","75.86%","27","31","100%"," 00:01:33","1",
13,"http://www.1010jiajiao.com/gzsw/shiti_id_d3b2424dc1560dbc37ea51fb8cdddc07","31","20","6","30%","20","32","96.77%"," 00:01:03","1.03",
14,"http://www.1010jiajiao.com/gzsw/shiti_id_a865b70b5b2802dc8e22b52cc328976a","30","29","10","34.48%","28","30","100%"," 00:02:33","1",
15,"http://www.1010jiajiao.com/gzsw/shiti_id_c09108431509d60211b0d12750264064","29","25","8","32%","25","30","96.55%"," 00:01:53","1.03",
16,"http://www.1010jiajiao.com/gzsw/shiti_id_e12dc36108b5ef8337b6f638484d7f85","29","29","28","96.55%","24","34","86.21%"," 00:01:57","1.17",
17,"http://www.1010jiajiao.com/gzsw/index.php","29","28","18","64.29%","28","30","96.55%"," 00:01:16","1.03",
18,"http://www.1010jiajiao.com/gzsw/shiti_id_327e6e7855d260205988f55eef79e8a0","28","24","18","75%","24","37","75%"," 00:06:21","1.32",
19,"http://www.1010jiajiao.com/gzsw/shiti_id_19a9c1eb44b3d181d6c04869984c5d58","27","23","8","34.78%","23","27","100%"," 00:01:40","1",
20,"http://www.1010jiajiao.com/gzsw/shiti_id_d95f4f18e7a4f393522c55c184c2945c","27","22","11","50%","22","27","100%"," 00:01:29","1",
21,"http://www.1010jiajiao.com/gzsw/shiti_id_6bf0b69f5f3f42dc58cfe4fb67e98ec9","27","27","27","100%","27","27","100%"," 00:00:05","1",
22,"http://www.1010jiajiao.com/gzsw/shiti_id_49bd453ffe1d7b78d585216d2b1b186c","25","20","13","65%","20","27","92%"," 00:03:12","1.08",
23,"http://www.1010jiajiao.com/gzsw/shiti_id_359915367ae6143ed4b2b378730bd4f5","25","24","7","29.17%","24","26","96%"," 00:03:26","1.04",
24,"http://www.1010jiajiao.com/gzsw/shiti_id_98027230bf9563d9cb726907b118781d","24","22","20","90.91%","22","25","95.83%"," 00:01:35","1.04",
25,"http://www.1010jiajiao.com/gzsw/shiti_id_9c9964e9e961ef15c1067fe022ba4e1b","24","22","17","77.27%","22","24","100%"," 00:01:54","1",
26,"http://www.1010jiajiao.com/gzsw/shiti_id_41fd0382d742be36613d4b3899161044","23","20","11","55%","22","27","82.61%"," 00:02:01","1.17",
27,"http://www.1010jiajiao.com/gzsw/shiti_id_90f50ae2295433f233993ea674a7a124","22","19","5","26.32%","19","24","89.47%"," 00:02:23","1.09",
28,"http://www.1010jiajiao.com/gzsw/shiti_id_64c4d1bb697131fb9310be4275a28bbb","22","21","9","42.86%","21","22","100%"," 00:01:39","1",
29,"http://www.1010jiajiao.com/gzsw/shiti_id_e561dac70a56cb243108954f6d4a9f7e","21","19","14","73.68%","19","34","57.14%"," 00:04:57","1.62",
30,"http://www.1010jiajiao.com/gzsw/shiti_id_cb062e15211ab91651ba3bfafc77b19e","21","19","4","21.05%","20","22","95.24%"," 00:01:46","1.05",
