,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","21,015","19,074","9,758","51.16%","19,042","23,975","90.21%"," 00:02:30","1.14",
1,"http://www.1010jiajiao.com/gzsx/shiti_id_3ddb8f01c04b1a269cfd23298f588708","233","85","84","98.82%","20","299","79.83%"," 00:02:13","1.28",
2,"http://www.1010jiajiao.com/gzsx/index.php","124","124","70","56.45%","123","142","91.67%"," 00:00:54","1.15",
3,"http://www.1010jiajiao.com/gzsx/shiti_id_dbc76bd6bc672b151f1f8bd46f357af9","119","103","55","53.4%","104","126","95.76%"," 00:02:12","1.06",
4,"http://www.1010jiajiao.com/gzsx/shiti_id_19250a7f064efe9cc2b41c30f1434db4","90","20","20","100%","13","100","90%"," 00:01:38","1.11",
5,"http://www.1010jiajiao.com/gzsx/shiti_id_caf9147621b25fcd34d807ee87fcac8c","31","21","10","47.62%","23","33","96.77%"," 00:01:54","1.06",
6,"http://www.1010jiajiao.com/gzsx/shiti_id_8df4c6808466950a1853f63b043c6781","29","26","17","65.38%","26","31","96.3%"," 00:02:33","1.07",
7,"http://www.1010jiajiao.com/gzsx/shiti_id_b901c377e33f691e023dab25b17b5359","28","24","14","58.33%","24","28","100%"," 00:03:12","1",
8,"http://www.1010jiajiao.com/gzsx/shiti_id_a5d5a90b98313c8c6fe7be50b5484145","28","26","24","92.31%","26","31","96.43%"," 00:01:26","1.11",
9,"http://www.1010jiajiao.com/gzsx/shiti_id_9b1f2ff938d889de3c11949fb1794072","26","22","9","40.91%","22","28","92.31%"," 00:03:13","1.08",
10,"http://www.1010jiajiao.com/gzsx/shiti_id_7b4b337b288cdd930ca515c5fd47c71b","23","22","17","77.27%","21","24","95.65%"," 00:02:26","1.04",
11,"http://www.1010jiajiao.com/gzsx/shiti_id_22448fb8440f542c0db88d6f904d3eb9","21","20","13","65%","20","21","100%"," 00:01:43","1",
12,"http://www.1010jiajiao.com/gzsx/shiti_id_5e5d1328ca7f7945814d44af41df6aa0","21","19","19","100%","16","23","90%"," 00:01:20","1.1",
13,"http://www.1010jiajiao.com/gzsx/shiti_id_73137957529d3c2254bb209f045e61e3","21","18","9","50%","18","21","100%"," 00:01:55","1",
14,"http://www.1010jiajiao.com/gzsx/shiti_id_400ed2f00d69000a70a455a1bb45faee","20","18","12","66.67%","18","20","100%"," 00:01:56","1",
15,"http://www.1010jiajiao.com/gzsx/shiti_id_e52a927d5d98a51658e8b57ce3e8704d","20","13","8","61.54%","13","21","94.74%"," 00:02:23","1.05",
16,"http://www.1010jiajiao.com/gzsx/shiti_id_7c6c7496ce73c8e0f83b7d62388437ea","20","13","7","53.85%","13","25","85%"," 00:04:56","1.25",
17,"http://www.1010jiajiao.com/gzsx/shiti_id_cbfb07b4afb479b644a767a3bb19cb08","19","14","4","28.57%","14","19","100%"," 00:02:03","1",
18,"http://www.1010jiajiao.com/gzsx/shiti_id_57f1597ef6abbb4bc94d0826bff40584","18","16","11","68.75%","16","21","100%"," 00:02:00","1.17",
19,"http://www.1010jiajiao.com/gzsx/shiti_id_93fd303f31f603190850ce0a9d23e5d6","18","14","11","78.57%","13","18","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/gzsx/shiti_id_4f00712369c379f4b87364ba0e417402","17","17","10","58.82%","17","18","94.12%"," 00:01:26","1.06",
