,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","71,775","64,585","37,573","58.18%","64,824","79,086","92.66%"," 00:02:13","1.1",
1,"http://www.1010jiajiao.com/xxsx/shiti_id_e3833386e757d9bf5f05a6108ccda23f","1","1","1","100%","1","1","100%"," 00:02:38","1",
2,"http://www.1010jiajiao.com/xxsx/shiti_id_532d32240509efda78a61a47a1ccb02c","1","1","1","100%","1","1","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/xxsx/shiti_id_a0424244d9f139ab1dfeb32d9fe69b0b","1","1","0","0%","1","1","100%"," 00:02:00","1",
4,"http://www.1010jiajiao.com/xxsx/shiti_id_c3f65cbcc70f7e99e387c52d2d78a7e2","1","1","0","0%","1","1","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/xxsx/shiti_id_b74614bbc3895fc8bd12da74042fc56c","1","1","0","0%","1","1","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/xxsx/shiti_page_53235","1","1","1","100%","1","1","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/xxsx/shiti_id_f8dace63821e9534552297817aac9525","1","1","0","0%","1","1","100%"," 00:14:44","1",
8,"http://www.1010jiajiao.com/xxsx/shiti_id_c701950149bbcdd1cce3e7e7735b212f","1","1","1","100%","1","1","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/xxsx/shiti_id_e9277ba323fc5e072d309c99e1eb14cf","1","1","0","0%","1","1","--","--","1",
10,"http://www.1010jiajiao.com/xxsx/shiti_id_0b2d2ebdc00a99b8a44ae176f2b24e8e","1","1","1","100%","1","1","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/xxsx/shiti_id_71e64401c2c8587ebf93740260e04948","1","1","1","100%","1","1","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/xxsx/shiti_id_0939d1655fc738f562f7610b91a384ef","1","1","1","100%","1","1","100%"," 00:18:20","1",
13,"http://www.1010jiajiao.com/xxsx/shiti_id_e74626441a02e8fc3ee5b4402a6b1aa6","1","1","1","100%","1","2","0%"," 00:21:54","2",
14,"http://www.1010jiajiao.com/xxsx/shiti_id_61bd4f0ccbb631d5caaf166e0e09c75e","1","1","1","100%","1","3","0%"," 00:07:56","3",
15,"http://www.1010jiajiao.com/xxsx/shiti_id_73b169f836a2b7c254e25ec41ca80200","1","1","1","100%","1","1","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/xxsx/shiti_id_44933e5b527780204b317b3c73d88a2f","1","1","1","100%","1","1","100%"," 00:00:22","1",
17,"http://www.1010jiajiao.com/xxsx/shiti_id_59a62efbcfaebbd0eb7e8e97ecafd41c","1","1","1","100%","1","1","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/xxsx/shiti_id_0ed6ebab7431f664e3f9e5735aff9da2","1","1","1","100%","1","1","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/xxsx/shiti_id_d7046a60d84d27ebd251f6ea5d358310","1","1","1","100%","1","2","0%"," 00:08:50","2",
20,"http://www.1010jiajiao.com/xxsx/shiti_id_cc98caacac007b1465f2e800e1487677","1","1","1","100%","1","1","100%"," 00:01:02","1",
21,"http://www.1010jiajiao.com/xxsx/shiti_id_9a33354ce491eb1d1c16ebe465352295","1","1","1","100%","1","1","100%"," 00:01:17","1",
22,"http://www.1010jiajiao.com/xxsx/shiti_id_74553dc41aa43ba0d463bf23dd8d91e0","1","1","1","100%","1","1","100%"," 00:02:00","1",
23,"http://www.1010jiajiao.com/xxsx/shiti_id_4fb4e43de3d602e301ee0f3082fdabf8","1","1","0","0%","1","1","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/xxsx/shiti_id_ef0b659d2237c6104b2cfc2d8995f213","1","1","0","0%","1","2","0%"," 00:02:40","2",
25,"http://www.1010jiajiao.com/xxsx/shiti_id_3b0c77afd325c94d0fd9a9e241b34152","1","1","1","100%","1","1","100%"," 00:02:00","1",
26,"http://www.1010jiajiao.com/xxsx/shiti_id_f344f8139cb7c4c281b072b8df7324f5","1","1","1","100%","1","1","100%"," 00:02:00","1",
27,"http://www.1010jiajiao.com/xxsx/shiti_page_17921","1","1","0","0%","1","1","100%"," 00:00:05","1",
28,"http://www.1010jiajiao.com/xxsx/shiti_id_1ca48556d302cecf2890eceb0e9ea450","1","1","0","0%","1","1","100%"," 00:00:06","1",
29,"http://www.1010jiajiao.com/xxsx/shiti_id_ee874e3fb54d3b068b559f73491f60f0","1","1","1","100%","1","1","100%"," 00:02:00","1",
30,"http://www.1010jiajiao.com/xxsx/shiti_id_fa2741e09caa05e3fb39abb1ff890ca0","1","1","1","100%","1","1","100%"," 00:13:59","1",
31,"http://www.1010jiajiao.com/xxsx/shiti_id_339d2317bbbb8154526aba37fb578bdb","1","1","1","100%","1","3","0%"," 00:01:15","3",
32,"http://www.1010jiajiao.com/xxsx/shiti_id_34520e789d1769e78bc9831ad7fcc985","1","1","1","100%","1","1","100%"," 00:02:00","1",
33,"http://www.1010jiajiao.com/xxsx/shiti_id_7a9799cc46520a87b7101616ff83b29c","1","1","1","100%","1","1","100%"," 00:02:00","1",
34,"http://www.1010jiajiao.com/xxsx/shiti_id_8507d1b72c340c5bf35e470892985361","1","1","0","0%","1","1","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/xxsx/shiti_id_d7bce56b1027b47c586a3e21681da460","1","1","1","100%","1","1","100%"," 00:02:00","1",
36,"http://www.1010jiajiao.com/xxsx/shiti_id_b1b4dfff72cf30b0c41afececa4049eb","1","1","1","100%","1","1","100%"," 00:01:15","1",
37,"http://www.1010jiajiao.com/xxsx/shiti_id_156dd3301dbdabff1b74103b73511cac","1","1","1","100%","1","1","100%"," 00:02:00","1",
38,"http://www.1010jiajiao.com/xxsx/shiti_id_2a2bea855ed762f8824ab83fbd662e95","1","1","1","100%","1","1","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/xxsx/shiti_id_5819621b63ce2a96ffb0ee592e3eafea","1","1","1","100%","1","1","100%"," 00:02:00","1",
40,"http://www.1010jiajiao.com/xxsx/shiti_id_12993cca78a8e1b3aa160e8d582a6232","1","1","1","100%","1","1","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/xxsx/shiti_id_9dcdd68ae02edb0d3f4e596e037f17fa","1","1","1","100%","1","1","--","--","1",
42,"http://www.1010jiajiao.com/xxsx/shiti_id_87b683845f9993cc0885903b7ef6acfc","1","1","1","100%","1","1","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/xxsx/shiti_id_7b14e8e4b7a5b532b58eb7724c669e9f?_t_t_t=0.5794705683365464","1","1","1","100%","1","1","100%"," 00:02:00","1",
44,"http://www.1010jiajiao.com/xxsx/shiti_id_253df7ce8915f8bc7cd2668a88d82d27","1","1","0","0%","1","1","100%"," 00:02:00","1",
45,"http://www.1010jiajiao.com/xxsx/shiti_id_62f94451c9fc01c14d9d66b5c0b6cecd","1","1","1","100%","1","2","0%"," 00:02:28","2",
46,"http://www.1010jiajiao.com/xxsx/shiti_id_f8fbad35c56af8c87987eaefcee5c9bc","1","1","1","100%","1","1","100%"," 00:02:00","1",
47,"http://www.1010jiajiao.com/xxsx/shiti_id_e2210235d3977f6412c58c18d42d08a9","1","1","0","0%","1","1","100%"," 00:02:00","1",
48,"http://www.1010jiajiao.com/xxsx/shiti_id_d6f0d21afbd732107a8cee46092a460e","1","1","0","0%","1","1","100%"," 00:02:00","1",
49,"http://www.1010jiajiao.com/xxsx/shiti_id_809860119bacd92d5540fb474be58fce","1","1","1","100%","1","1","100%"," 00:02:00","1",
50,"http://www.1010jiajiao.com/xxsx/shiti_id_aca9c2cb20768eb93e40e0e616c56caa","1","1","1","100%","1","1","100%"," 00:00:39","1",
