,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","105,736","92,628","50,845","54.89%","92,901","117,658","91.87%"," 00:02:08","1.11",
1,"http://www.1010jiajiao.com/xxyw/shiti_id_49b17420bf55604eacdef6e7d38466d5","1","1","0","0%","1","1","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/xxyw/shiti_id_5baa725494378c1db3f68f8cf4d56cbf","1","1","0","0%","1","1","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/xxyw/shiti_id_16413b63830d97d81392e22439dcd05a","1","1","0","0%","1","1","100%"," 00:00:05","1",
4,"http://www.1010jiajiao.com/xxyw/shiti_id_5c2b6a66ec490cd09a94f3ee4e97a34d","1","1","1","100%","1","1","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/xxyw/shiti_id_ff55f9fc2b9b76f09bd7b4d4747bd05c","1","1","1","100%","1","1","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/xxyw/shiti_id_a159874eb0885ceb0f11584a4a89ac7a","1","1","0","0%","1","1","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/xxyw/shiti_id_b6a6c940b699d765be8628478fff6550/?_t=t","1","1","1","100%","1","1","100%"," 00:02:00","1",
8,"http://www.1010jiajiao.com/xxyw/shiti_id_c195b20a140dcdb6c8478e54478fab7f/?_ad0.6458793320135807","1","1","1","100%","1","11","0%"," 00:09:24","11",
9,"http://www.1010jiajiao.com/xxyw/shiti_id_d0a98608ac04c748f6e5a0035e30ff78","1","1","1","100%","1","1","100%"," 00:00:04","1",
10,"http://www.1010jiajiao.com/xxyw/shiti_id_e87c5beeb6d1c8efa27e2acbbb2078c7","1","1","0","0%","1","2","0%"," 00:00:28","2",
11,"http://www.1010jiajiao.com/xxyw/shiti_id_ae78e5acf264491834d5a1aae2751849","1","1","1","100%","1","1","100%"," 00:00:20","1",
12,"http://www.1010jiajiao.com/xxyw/shiti_page_18940","1","1","0","0%","1","1","100%"," 00:02:00","1",
13,"http://www.1010jiajiao.com/xxyw/shiti_page_18699?_t_t_t=0.9173317027743906","1","1","0","0%","1","2","--","--","2",
14,"http://www.1010jiajiao.com/xxyw/shiti_id_298a098186e012e9c97e0855c8c37f1c/?_t_t_t=0.46705795673362704","1","1","1","100%","1","2","0%"," 00:02:00","2",
15,"http://www.1010jiajiao.com/xxyw/shiti_id_4ca287803e7709c1ec31f37a62231ce5","1","1","1","100%","1","1","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/xxyw/shiti_id_cbefd0a86979ce73576abc9ab7f60975","1","1","0","0%","1","1","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/xxyw/shiti_id_75d5e7a02e68f1bfde01d7bb3c0680d7","1","1","1","100%","1","1","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/xxyw/shiti_id_b013dffaaf44742f48a25c0bf5a63ccb","1","1","1","100%","1","1","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/xxyw/shiti_id_81ea514d41f4fd241447d60f5050d6bc","1","1","0","0%","1","1","100%"," 00:00:11","1",
20,"http://www.1010jiajiao.com/xxyw/shiti_id_2d903aef56d9c0258b261f86974bc886","1","1","1","100%","1","1","100%"," 00:02:00","1",
21,"http://www.1010jiajiao.com/xxyw/shiti_id_6dd13623b2a454294f9e0354b9e18b0f?_t_t_t=0.338345929980278","1","1","1","100%","1","1","100%"," 00:02:00","1",
22,"http://www.1010jiajiao.com/xxyw/shiti_id_977ccc39926f7b7f2ec3552cb5bc4d49","1","1","1","100%","1","1","100%"," 00:00:11","1",
23,"http://www.1010jiajiao.com/xxyw/shiti_id_5b0a4b57518aae829faea5e00f0d7468","1","1","1","100%","1","1","100%"," 00:00:56","1",
24,"http://www.1010jiajiao.com/xxyw/shiti_id_984ac97370aa9ba65c8373f8d56a6894","1","1","1","100%","1","1","100%"," 00:00:09","1",
25,"http://www.1010jiajiao.com/xxyw/shiti_id_0385fa29d11a59c1b2218a0bd5476acd","1","1","1","100%","1","2","0%"," 00:00:14","2",
26,"http://www.1010jiajiao.com/xxyw/shiti_id_c4a859c3b5f11841579c4a255e20cea5","1","1","1","100%","1","1","100%"," 00:02:00","1",
27,"http://www.1010jiajiao.com/xxyw/shiti_id_bddb9312816284c2b7abef9284613280","1","1","0","0%","1","1","100%"," 00:01:49","1",
28,"http://www.1010jiajiao.com/xxyw/shiti_id_ce109f506921a74c2ef2e9db619d858c","1","1","1","100%","1","1","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/xxyw/shiti_id_30bde4b1228069b0de489dd5b74f71eb","1","1","1","100%","1","1","--","--","1",
30,"http://www.1010jiajiao.com/xxyw/shiti_page_743","1","1","1","100%","1","1","100%"," 00:02:00","1",
31,"http://www.1010jiajiao.com/xxyw/shiti_id_6e2b725eaaf4ba97c1bcf058d5a78114","1","1","0","0%","1","1","100%"," 00:02:00","1",
32,"http://www.1010jiajiao.com/xxyw/shiti_page_12478","1","1","1","100%","1","1","100%"," 00:00:06","1",
33,"http://www.1010jiajiao.com/xxyw/shiti_id_a37ff7df38c72a51e5024af0ce172b85","1","1","1","100%","1","1","100%"," 00:02:00","1",
