,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","2,332","2,243","1,177","52.47%","2,252","2,612","91.55%"," 00:02:19","1.12",
1,"http://www.1010jiajiao.com/czdl/shiti_id_31baf96be7bd07c2df1aa3d8204a6afe","61","61","51","83.61%","61","61","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/czdl/shiti_id_4186c9223ff8ad541b53c0f8e0b0e1d5","61","61","52","85.25%","61","61","100%"," 00:02:00","1",
3,"http://www.1010jiajiao.com/czdl/shiti_id_454ff02dac8fad78177c834209365c8e","56","56","51","91.07%","56","56","100%"," 00:02:00","1",
4,"http://www.1010jiajiao.com/czdl/shiti_id_3959e88bc8e843f3c35a3682d1ec9f5f","50","50","38","76%","50","50","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/czdl/shiti_id_3fdee42fe58f9a167d1695dcb5862e9a","50","50","42","84%","50","50","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/czdl/shiti_id_96916b44c8424099ab3d746bcf5a6934","11","11","8","72.73%","11","12","--","--","1.09",
7,"http://www.1010jiajiao.com/czdl/shiti_id_ca941cc707e848ac10aac3bb8b4f77e1","7","7","4","57.14%","7","7","100%"," 00:02:00","1",
8,"http://www.1010jiajiao.com/czdl/shiti_page_38457","5","4","3","75%","4","9","0%"," 00:00:10","1.8",
9,"http://www.1010jiajiao.com/czdl/shiti_id_b2f96b3b5ce1bef9b62d7a8544c95c2e","5","5","2","40%","5","5","100%"," 00:01:45","1",
10,"http://www.1010jiajiao.com/czdl/shiti_id_0ed6a5137c890bede557b26f291bac4a","5","2","0","0%","2","5","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/czdl/shiti_id_69069fe94ab75fed0ca5468034db566a","5","5","3","60%","5","5","100%"," 00:01:26","1",
12,"http://www.1010jiajiao.com/czdl/shiti_id_b0782ea42b936f5dde082a53a3ec022e","5","5","3","60%","5","5","100%"," 00:00:51","1",
13,"http://www.1010jiajiao.com/czdl/index.php","4","4","4","100%","4","4","100%"," 00:01:06","1",
14,"http://www.1010jiajiao.com/czdl/shiti_id_816d9d77d578179d6c37706426f6f456","4","1","0","0%","1","4","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/czdl/shiti_id_c17f089c2ff09823f523da1e48679aad","4","4","1","25%","4","4","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/czdl/shiti_id_143a1beec555a64126b24e2f583e1355","4","2","1","50%","2","4","100%"," 00:01:31","1",
17,"http://www.1010jiajiao.com/czdl/shiti_id_9e62b07cb6abd5fda56499e7c139a0d0","4","4","2","50%","4","4","100%"," 00:06:33","1",
18,"http://www.1010jiajiao.com/czdl/shiti_id_48aab40ec5afa029b5ad755e8b2ce3f8","4","3","3","100%","3","5","75%"," 00:04:00","1.25",
19,"http://www.1010jiajiao.com/czdl/shiti_id_8919e10ed0c756a2c01d58902565f3bd","4","4","2","50%","4","4","100%"," 00:01:21","1",
20,"http://www.1010jiajiao.com/czdl/shiti_id_d9d7b7defb3ea996f7e0f0f49d627a17","4","4","3","75%","4","4","100%"," 00:01:27","1",
21,"http://www.1010jiajiao.com/czdl/shiti_id_3003fd52e04e735bda4661674957f8f0","4","2","1","50%","2","4","100%"," 00:04:13","1",
22,"http://www.1010jiajiao.com/czdl/shiti_id_d51af2d07e044bbc77dff39598325043","4","4","4","100%","4","4","100%"," 00:01:25","1",
23,"http://www.1010jiajiao.com/czdl/shiti_id_1e3b81494485782c5ffea8ea1bf19b63","4","4","3","75%","4","5","100%"," 00:01:21","1.25",
24,"http://www.1010jiajiao.com/czdl/shiti_id_9cc1616e2d72f94acd4ab77e563e8836","4","4","3","75%","4","4","100%"," 00:01:52","1",
25,"http://www.1010jiajiao.com/czdl/shiti_id_419ec29ee4688d25b888458c719d9ef8","3","1","1","100%","1","3","100%"," 00:02:00","1",
26,"http://www.1010jiajiao.com/czdl/shiti_id_a43378d3e10ce0da23b2d9766d3ee82e","3","3","1","33.33%","3","3","100%"," 00:02:43","1",
27,"http://www.1010jiajiao.com/czdl/shiti_id_61dbcb691fcbcbd6eff94a0727765f78","3","1","0","0%","1","3","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/czdl/shiti_id_d77a2c4ccee6f0bd3c0e87463f7ce948","3","3","3","100%","3","4","66.67%"," 00:01:50","1.33",
29,"http://www.1010jiajiao.com/czdl/shiti_id_d49ce318a6471f202f53a34ee5420c6f","3","3","1","33.33%","3","3","100%"," 00:02:00","1",
30,"http://www.1010jiajiao.com/czdl/shiti_id_cab71da4080a31336001a881282d4b8c","3","1","1","100%","1","3","100%"," 00:00:10","1",
31,"http://www.1010jiajiao.com/czdl/shiti_id_a77374570fc7912f0e828246c4b4c79e","3","2","0","0%","2","3","100%"," 00:04:29","1",
32,"http://www.1010jiajiao.com/czdl/shiti_id_42212ca412ab81333e6c3b9b04e249a4","3","3","2","66.67%","3","3","100%"," 00:01:26","1",
33,"http://www.1010jiajiao.com/czdl/shiti_id_ac34141d71f23758c5ed6fe55e02c0d9","3","1","0","0%","1","3","100%"," 00:01:44","1",
34,"http://www.1010jiajiao.com/czdl/shiti_id_ec739b5d7bfd1f7f13869b7f2cb527a9","3","1","0","0%","1","3","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/czdl/shiti_id_528d962aeaf9effe6ae39c7d9d2c1038","3","1","0","0%","2","3","100%"," 00:00:54","1",
36,"http://www.1010jiajiao.com/czdl/shiti_id_b7ad601d0ab5ffe70066202c9aa034a0","3","1","0","0%","1","3","100%"," 00:00:13","1",
37,"http://www.1010jiajiao.com/czdl/shiti_id_bcda0c22844c6f3d64688fe808b5fa6a","3","2","1","50%","2","6","66.67%"," 00:01:16","2",
38,"http://www.1010jiajiao.com/czdl/shiti_id_6975d3248f4cec204638ce866f35f683","3","3","1","33.33%","3","4","66.67%"," 00:01:18","1.33",
39,"http://www.1010jiajiao.com/czdl/shiti_id_1f942e4c3ae32ed32d8867dc3643c81a","3","3","2","66.67%","3","4","100%"," 00:01:48","1.33",
40,"http://www.1010jiajiao.com/czdl/shiti_id_a40637fb83636d8699e5bdb399543cb7","3","2","1","50%","2","3","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/czdl/shiti_id_fc138da0bff8d66d2bf74bbc853565fc","3","2","1","50%","2","3","100%"," 00:02:00","1",
