,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","3,113","2,962","1,283","43.32%","2,968","3,486","91.86%"," 00:02:19","1.12",
1,"http://www.1010jiajiao.com/czhx/index.php","11","11","7","63.64%","11","16","81.82%"," 00:03:58","1.45",
2,"http://www.1010jiajiao.com/czhx/shiti_id_fc6050afe3bb6ecedb080d31e8605d4c","10","9","4","44.44%","9","10","100%"," 00:01:20","1",
3,"http://www.1010jiajiao.com/czhx/shiti_id_ea9576a7d49db419fd6fd2b105c225a3","9","8","4","50%","8","10","87.5%"," 00:01:56","1.11",
4,"http://www.1010jiajiao.com/czhx/shiti_id_cf406dde850521c3816fc49cf0b5bfcd","6","2","0","0%","1","14","66.67%"," 00:03:52","2.33",
5,"http://www.1010jiajiao.com/czhx/shiti_id_ef63b81dc2db74d2c69c8a2326d51374","6","6","1","16.67%","6","6","100%"," 00:01:27","1",
6,"http://www.1010jiajiao.com/czhx/shiti_id_18aff4ad7f5f6bfda450658862a88544","6","1","0","0%","1","6","100%"," 00:02:00","1",
7,"http://www.1010jiajiao.com/czhx/shiti_id_425cde8127dfc6d24f5b41a44a02570c","6","6","6","100%","6","6","100%"," 00:02:00","1",
8,"http://www.1010jiajiao.com/czhx/shiti_id_a823822734c235d86cdd9f6b823559aa","5","3","1","33.33%","3","5","100%"," 00:01:05","1",
9,"http://www.1010jiajiao.com/czhx/shiti_id_f6b130976cd8b2da1080233da774b175","4","3","2","66.67%","3","4","100%"," 00:01:21","1",
10,"http://www.1010jiajiao.com/czhx/shiti_id_0acef1d398485baa2d549758967767e5","4","1","1","100%","1","4","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/czhx/shiti_id_64f403e4febd78269259042902d9671c","4","4","1","25%","4","4","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/czhx/shiti_id_1f96afb50af7be78b0d795174b19e236","4","4","3","75%","4","4","100%"," 00:01:06","1",
13,"http://www.1010jiajiao.com/czhx/shiti_id_28d6bc5fd384f17b87613b169f212cd9","4","1","1","100%","1","4","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/czhx/shiti_id_37e267693bb5d40098bb6b480a3e58d2","4","2","0","0%","2","4","100%"," 00:00:54","1",
15,"http://www.1010jiajiao.com/czhx/shiti_id_50f774a6088d8b2349f6ec2d83ad0fa2","4","3","2","66.67%","3","4","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/czhx/shiti_id_d0a858d2bca76b6f31ecf6751b2c1fab","4","3","3","100%","3","4","100%"," 00:01:35","1",
17,"http://www.1010jiajiao.com/czhx/shiti_id_db93dbf046abe0a62e01c7fc13d1494c","3","1","0","0%","1","3","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/czhx/shiti_id_feafa910aa120906f479e91a94069521","3","2","2","100%","2","6","50%"," 00:01:24","2",
19,"http://www.1010jiajiao.com/czhx/shiti_id_140340022ecb7b172df0fa920f1b4cf0","3","3","2","66.67%","3","3","100%"," 00:01:42","1",
20,"http://www.1010jiajiao.com/czhx/shiti_id_2d8f7c7f518452e2daec183f19dc74de","3","2","1","50%","2","3","100%"," 00:03:33","1",
21,"http://www.1010jiajiao.com/czhx/shiti_id_ac78748a29aabfad42aeb2a5547f7e1f","3","3","2","66.67%","3","5","50%"," 00:06:32","1.67",
22,"http://www.1010jiajiao.com/czhx/shiti_id_2269d84c9bbe1cf7b7200b6ca5f2abf0","3","3","0","0%","3","4","66.67%"," 00:00:12","1.33",
23,"http://www.1010jiajiao.com/czhx/shiti_id_d090086c4466b7c6d84f62899cb4790a","3","3","0","0%","3","3","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/czhx/shiti_id_c56bc48f6eb0a062ff8d0850cac5cfec","3","2","1","50%","2","3","100%"," 00:08:26","1",
25,"http://www.1010jiajiao.com/czhx/shiti_id_9ebc275bfc5af17bf0081f8d869cbe47","3","1","0","0%","1","3","100%"," 00:02:00","1",
26,"http://www.1010jiajiao.com/czhx/shiti_id_4de1abc87821d3002871df9fc8305c06","3","3","1","33.33%","3","3","100%"," 00:00:01","1",
27,"http://www.1010jiajiao.com/czhx/shiti_id_9326f48cd40005884d279e95c86b2f5b","3","2","1","50%","2","4","100%"," 00:02:00","1.33",
28,"http://www.1010jiajiao.com/czhx/shiti_id_6a47f07f12c09939ef60754522f5fb67","3","2","2","100%","2","3","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/czhx/shiti_id_d697663db4a3def37b134125c78a50c4","3","2","2","100%","1","3","100%"," 00:05:20","1",
30,"http://www.1010jiajiao.com/czhx/shiti_id_3d66e16faf0821cbb70e201bf08ce887","3","3","2","66.67%","3","3","100%"," 00:04:10","1",
31,"http://www.1010jiajiao.com/czhx/shiti_id_a487c6d2d76f38e45be3b9f6098eca2e","3","1","0","0%","1","4","66.67%"," 00:03:27","1.33",
32,"http://www.1010jiajiao.com/czhx/shiti_id_deba7bd93ce932fecaafa07cf99e7b0a","3","1","0","0%","1","3","100%"," 00:00:49","1",
33,"http://www.1010jiajiao.com/czhx/shiti_page_121696","3","2","0","0%","2","4","66.67%"," 00:03:56","1.33",
34,"http://www.1010jiajiao.com/czhx/shiti_id_1c1072757e92ce96d44e49a47ee6ac57","3","2","1","50%","2","4","66.67%"," 00:01:22","1.33",
35,"http://www.1010jiajiao.com/czhx/shiti_id_c47b9cd8c9ee6af26b45dfc88e14fb8d","3","3","1","33.33%","3","3","100%"," 00:00:47","1",
36,"http://www.1010jiajiao.com/czhx/shiti_id_1e45678c8d18633185744ac0e944e527","3","1","0","0%","1","3","100%"," 00:05:59","1",
37,"http://www.1010jiajiao.com/czhx/shiti_id_5a0b0d3a8b893fc35253d44771661ccf","3","1","0","0%","1","3","100%"," 00:02:00","1",
38,"http://www.1010jiajiao.com/czhx/shiti_id_17a4e99ce69a2c1a0480ee2eb76b026f","3","1","0","0%","1","3","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/czhx/shiti_id_2ce90899901403da497233cd84420c6e","3","3","2","66.67%","3","4","66.67%"," 00:02:58","1.33",
40,"http://www.1010jiajiao.com/czhx/shiti_id_89e5035417cfb72fa27930141b5cceab","3","2","0","0%","2","3","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/czhx/shiti_id_7a7058421c64236273cc11aa3c09d410","3","1","1","100%","1","3","100%"," 00:02:00","1",
42,"http://www.1010jiajiao.com/czhx/shiti_id_f33de40e0290f740d7508f9f3ecff6c3","3","3","3","100%","3","3","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/czhx/shiti_id_00777f8e3788adba1ed46df3c1de4894","3","2","0","0%","2","4","66.67%"," 00:03:05","1.33",
