,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","3,887","3,697","2,000","54.1%","3,698","4,446","90.93%"," 00:02:28","1.14",
1,"http://www.1010jiajiao.com/czls/shiti_id_4b2b1c35370538e66636e683e6463a0e","79","60","42","70%","60","82","96.2%"," 00:02:52","1.04",
2,"http://www.1010jiajiao.com/czls/shiti_id_6a20da9a42d75ff88856e1d49d4a754b","23","21","14","66.67%","21","27","82.61%"," 00:01:56","1.17",
3,"http://www.1010jiajiao.com/czls/shiti_id_99398734584ff408b2194f3f2728fef9","16","13","7","53.85%","13","16","100%"," 00:01:40","1",
4,"http://www.1010jiajiao.com/czls/shiti_id_1ab0e2365f72a53e5e5ac74516988ee5","16","16","12","75%","15","16","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/czls/shiti_id_f94c7bce7be5969a89e6f879afe6ed70","12","8","4","50%","8","13","91.67%"," 00:01:51","1.08",
6,"http://www.1010jiajiao.com/czls/shiti_id_fa30cb26f88ca645da5418c62f89540d","12","9","7","77.78%","9","13","91.67%"," 00:01:32","1.08",
7,"http://www.1010jiajiao.com/czls/shiti_id_919f63786e081846c8c30f3188963657","12","12","9","75%","12","12","100%"," 00:01:51","1",
8,"http://www.1010jiajiao.com/czls/shiti_id_b6a18a2e25f0d8f5d522ae0f0568c1e5","12","11","4","36.36%","8","12","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/czls/shiti_id_88a8bb57bf3697cafbe1e1f143389a24","10","9","5","55.56%","9","10","100%"," 00:02:08","1",
10,"http://www.1010jiajiao.com/czls/shiti_id_1f81de1542e41732cc487e5eb43cbfcb","9","9","4","44.44%","9","9","100%"," 00:01:47","1",
11,"http://www.1010jiajiao.com/czls/shiti_id_54b65b2302732eec465c11cdc8ecfa66","8","4","1","25%","4","8","100%"," 00:01:27","1",
12,"http://www.1010jiajiao.com/czls/shiti_id_5bc121301a9c267a89a02e8f25cb9630","8","8","3","37.5%","8","9","87.5%"," 00:03:16","1.13",
13,"http://www.1010jiajiao.com/czls/shiti_id_081667b97377fad6869b5d847d4a8dbe","6","5","2","40%","5","7","83.33%"," 00:05:07","1.17",
14,"http://www.1010jiajiao.com/czls/shiti_id_146c87f0e658f21532365de3f8b1f49c","6","5","4","80%","5","6","100%"," 00:01:48","1",
15,"http://www.1010jiajiao.com/czls/shiti_id_750ef46ca343e1e35b9e30690f2b04e7","6","5","5","100%","5","6","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/czls/shiti_id_3d4c21d24b20ad99185eeb5e30c7a965","6","6","4","66.67%","6","7","83.33%"," 00:02:18","1.17",
17,"http://www.1010jiajiao.com/czls/shiti_id_c64fde59edef36f791c99bd9afef7a77","5","4","1","25%","4","5","100%"," 00:01:36","1",
