,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","3,765","3,612","1,847","51.14%","3,613","4,128","92.97%"," 00:02:17","1.1",
1,"http://www.1010jiajiao.com/czsw/shiti_id_8c19edf861397c82f28c00fd15d0803a","26","26","20","76.92%","26","28","96%"," 00:01:42","1.08",
2,"http://www.1010jiajiao.com/czsw/shiti_id_118da94d92afb7a548a1c79eb99e27b6","26","23","18","78.26%","23","26","100%"," 00:01:50","1",
3,"http://www.1010jiajiao.com/czsw/shiti_id_377fd978160c6cf02519eeed81143d23","15","1","1","100%","1","15","100%"," 00:01:38","1",
4,"http://www.1010jiajiao.com/czsw/shiti_id_a0082e6cf0696280b7742393ab242dd6","9","9","8","88.89%","9","9","--","--","1",
5,"http://www.1010jiajiao.com/czsw/index.php","9","9","6","66.67%","9","9","100%"," 00:01:18","1",
6,"http://www.1010jiajiao.com/czsw/shiti_id_58ec2576a48b73e56457d29823216491","9","6","4","66.67%","6","9","100%"," 00:00:57","1",
7,"http://www.1010jiajiao.com/czsw/shiti_id_2ada66543c19149cb7c363d7f523e116","7","7","7","100%","7","7","100%"," 00:01:43","1",
8,"http://www.1010jiajiao.com/czsw/shiti_id_84cde783e8894b65c4f75129aeabfa80","6","6","4","66.67%","6","6","100%"," 00:01:42","1",
9,"http://www.1010jiajiao.com/czsw/shiti_id_9394ff085e8465375ed4061612bc66e6","6","6","4","66.67%","6","6","100%"," 00:03:48","1",
10,"http://www.1010jiajiao.com/czsw/shiti_id_efe5a38d1ba7bd167519ec0057030507","6","2","1","50%","2","6","100%"," 00:00:56","1",
11,"http://www.1010jiajiao.com/czsw/shiti_id_817b0362838a42998c5cd7206a8e886a","6","6","3","50%","6","6","100%"," 00:01:50","1",
12,"http://www.1010jiajiao.com/czsw/shiti_id_702446f18ca82244a998e205387566c0","5","5","2","40%","5","6","80%"," 00:01:40","1.2",
13,"http://www.1010jiajiao.com/czsw/shiti_id_ad42e8013661cf24e51a2f88cd7d6dda","5","5","3","60%","5","5","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/czsw/shiti_id_9f24da1b28f288d8cbb04044fd7fe913","5","4","1","25%","4","5","100%"," 00:01:04","1",
15,"http://www.1010jiajiao.com/czsw/shiti_id_75bb8504415f6886ec9b8af76cbcd7a5","5","4","3","75%","4","5","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/czsw/shiti_id_6d2eade86876167372da584be11be01e","5","5","4","80%","5","5","100%"," 00:01:23","1",
17,"http://www.1010jiajiao.com/czsw/shiti_id_957d14f455896b2541eef1c55a51f1a6","4","4","4","100%","4","4","100%"," 00:01:31","1",
18,"http://www.1010jiajiao.com/czsw/shiti_id_cc6b2816abad8d20f53b8a1653efffbd","4","1","0","0%","1","4","100%"," 00:00:21","1",
19,"http://www.1010jiajiao.com/czsw/shiti_id_313f9130232610e75ae381d4d76ae543","4","4","2","50%","4","5","75%"," 00:02:23","1.25",
20,"http://www.1010jiajiao.com/czsw/shiti_id_c7cee5d9c363aa152c8820982f368b1e","4","4","2","50%","4","4","100%"," 00:01:40","1",
21,"http://www.1010jiajiao.com/czsw/shiti_id_da135ceb27a9f2086618366c905e462f","4","3","3","100%","2","4","100%"," 00:02:00","1",
22,"http://www.1010jiajiao.com/czsw/shiti_id_94048cb8a7a871ccbf5b879e37a88b6c","4","4","4","100%","4","4","100%"," 00:02:00","1",
23,"http://www.1010jiajiao.com/czsw/shiti_id_2b9297b29cf5bae223bbf82dc657b54e","4","4","2","50%","4","4","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/czsw/shiti_id_db1cadd6c62171597c0215eb46e25a1e","4","2","1","50%","2","4","100%"," 00:02:00","1",
25,"http://www.1010jiajiao.com/czsw/shiti_id_c9b86d7758cb60d4268947889c36de37","4","4","4","100%","4","4","100%"," 00:00:21","1",
26,"http://www.1010jiajiao.com/czsw/shiti_id_8f27be7c6fec0ca67ffaf2ca2a23dcd5","4","4","2","50%","4","4","100%"," 00:02:00","1",
27,"http://www.1010jiajiao.com/czsw/shiti_id_63b889c966fbb8f617202b6c50aab7a3","4","1","0","0%","1","4","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/czsw/shiti_id_b4d86a3946616b28a5f888ec7bb5a536","4","1","0","0%","2","4","100%"," 00:02:00","1",
29,"http://www.1010jiajiao.com/czsw/shiti_id_4c197ad966c18bdfb83cbc6863590cde","4","4","3","75%","4","5","75%"," 00:02:55","1.25",
30,"http://www.1010jiajiao.com/czsw/shiti_page_7245","3","3","3","100%","3","3","100%"," 00:00:44","1",
31,"http://www.1010jiajiao.com/czsw/shiti_id_3504f7d0f3d599f5d8e8f02412e6cbd2","3","2","1","50%","2","3","100%"," 00:02:00","1",
32,"http://www.1010jiajiao.com/czsw/shiti_id_7b0cb3d3959dc95c8391160a3582a09f","3","2","2","100%","2","3","100%"," 00:02:00","1",
33,"http://www.1010jiajiao.com/czsw/shiti_id_264f6cbde4a744ee3767784a46d1c50a","3","3","2","66.67%","3","4","66.67%"," 00:00:53","1.33",
34,"http://www.1010jiajiao.com/czsw/shiti_id_ee504cb78777e137ab347df578769801","3","3","2","66.67%","3","3","100%"," 00:01:25","1",
35,"http://www.1010jiajiao.com/czsw/shiti_id_0dea28adedaac94f2fa084556ef264f8","3","3","2","66.67%","3","3","100%"," 00:02:00","1",
36,"http://www.1010jiajiao.com/czsw/shiti_id_d11f9941b703fa2ad95a2b4faa48633a","3","2","2","100%","2","3","100%"," 00:02:00","1",
37,"http://www.1010jiajiao.com/czsw/shiti_id_9473047fb8537d2ca931d3914b88ea0b","3","3","1","33.33%","3","4","100%"," 00:01:55","1.33",
38,"http://www.1010jiajiao.com/czsw/shiti_id_d3fc3706c1f92f9b0467eae1aeca2da1","3","3","2","66.67%","3","3","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/czsw/shiti_id_5dd790f17232b7806dcbc0284fd83a03","3","2","2","100%","2","3","100%"," 00:01:30","1",
40,"http://www.1010jiajiao.com/czsw/shiti_id_6a8b5cb89a398f4391deed41c863038f","3","3","3","100%","2","3","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/czsw/shiti_id_2c7783f7cdc2eb672d214eeab9aeceef","3","3","1","33.33%","3","3","100%"," 00:01:04","1",
42,"http://www.1010jiajiao.com/czsw/shiti_id_853de072808c9dbaa666c93b4ff07b85","3","3","1","33.33%","3","3","100%"," 00:02:08","1",
43,"http://www.1010jiajiao.com/czsw/shiti_id_9ef34b72232ea4e7ccf549e125888a3c","3","2","1","50%","2","3","100%"," 00:02:00","1",
44,"http://www.1010jiajiao.com/czsw/shiti_id_f78c41785da6c28424e87d96b9423564","3","2","1","50%","2","3","100%"," 00:02:00","1",
45,"http://www.1010jiajiao.com/czsw/shiti_id_94475c5b1860c9aad9b120745d748a7c","3","3","3","100%","3","3","100%"," 00:02:00","1",
46,"http://www.1010jiajiao.com/czsw/shiti_id_ee09c5e17afa53234e2403812cba2e9d","3","2","2","100%","2","3","100%"," 00:02:00","1",
47,"http://www.1010jiajiao.com/czsw/shiti_id_c71c94826ba33ffafa998c08f4a090aa","3","2","1","50%","2","3","100%"," 00:02:00","1",
48,"http://www.1010jiajiao.com/czsw/shiti_id_f3e53383e6d527ca63ce121c809592ab","3","1","0","0%","1","3","100%"," 00:00:04","1",
49,"http://www.1010jiajiao.com/czsw/shiti_id_fd821ff798b095569a18279bcfd9f7fa","3","3","2","66.67%","3","3","100%"," 00:02:00","1",
50,"http://www.1010jiajiao.com/czsw/shiti_id_d9e3f02a23e7b57983fd23cf6d4c5417","3","1","1","100%","2","3","100%"," 00:02:00","1",
51,"http://www.1010jiajiao.com/czsw/shiti_id_b66e7de499212358de92babe881e14fb","3","2","0","0%","2","3","100%"," 00:02:00","1",
52,"http://www.1010jiajiao.com/czsw/shiti_id_30fbd709fd33428c9b1195de82200a4f","3","3","2","66.67%","3","3","100%"," 00:02:00","1",
53,"http://www.1010jiajiao.com/czsw/shiti_id_d1c16cc8c0aaec83daafe31af6c33073","3","2","0","0%","2","4","66.67%"," 00:08:57","1.33",
