,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","6,512","6,150","2,526","41.07%","6,158","7,389","90.78%"," 00:02:35","1.13",
1,"http://www.1010jiajiao.com/gzwl/shiti_id_a959a49479420aa23aa5a3fa799a71a1","36","25","19","76%","24","37","97.22%"," 00:02:04","1.03",
2,"http://www.1010jiajiao.com/gzwl/shiti_id_a320bb576b8d42ae2e9e59a8cb9bd844","27","25","15","60%","25","29","95.83%"," 00:03:24","1.07",
3,"http://www.1010jiajiao.com/gzwl/index.php","24","24","20","83.33%","24","44","75%"," 00:01:35","1.83",
4,"http://www.1010jiajiao.com/gzwl/shiti_id_1e992493fa83800ccc2a263a076b43b9","18","17","12","70.59%","18","18","100%"," 00:02:12","1",
5,"http://www.1010jiajiao.com/gzwl/shiti_id_1ffaa4dc4ad558633299dcdb9213fe50","13","10","5","50%","10","13","100%"," 00:01:51","1",
6,"http://www.1010jiajiao.com/gzwl/shiti_id_33ce568f982214d0749064d9ebf6aace","10","9","7","77.78%","9","10","100%"," 00:01:36","1",
7,"http://www.1010jiajiao.com/gzwl/shiti_id_d5dfb2d1bce5bb3127e2380a48240301","9","6","1","16.67%","6","9","100%"," 00:01:22","1",
8,"http://www.1010jiajiao.com/gzwl/shiti_id_87bb3cba2951fec8df82666b03a2bd94","8","8","4","50%","8","10","100%"," 00:02:00","1.25",
9,"http://www.1010jiajiao.com/gzwl/shiti_id_2f69d652b0008dd64d70c6a818e21e04","7","5","0","0%","5","7","100%"," 00:01:32","1",
10,"http://www.1010jiajiao.com/gzwl/shiti_id_2704ef64744b54d90c8d4a1b34b29da2","7","5","3","60%","6","7","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/gzwl/shiti_id_685330d723161470574200849c493a7c","7","5","3","60%","5","7","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/gzwl/shiti_id_46e700e54c007455d509f0a58b5afa30","7","7","1","14.29%","7","7","100%"," 00:01:49","1",
13,"http://www.1010jiajiao.com/gzwl/shiti_id_85fd839cdef043cb8c5e03f389550041","6","5","3","60%","5","6","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/gzwl/shiti_id_9d78c3d72e0eca1f9862ed657c6042d7","6","6","0","0%","6","6","100%"," 00:03:28","1",
15,"http://www.1010jiajiao.com/gzwl/shiti_id_25bcd1c363c9729583669a82f1cb565a","6","6","4","66.67%","6","6","100%"," 00:01:40","1",
16,"http://www.1010jiajiao.com/gzwl/shiti_id_290476cfe58ca23b464ab99d6f6704ea","6","6","5","83.33%","6","6","100%"," 00:01:37","1",
17,"http://www.1010jiajiao.com/gzwl/shiti_id_47c17d4afa8a1c65fd05bfe53b44f6cf","6","3","0","0%","3","7","83.33%"," 00:01:53","1.17",
18,"http://www.1010jiajiao.com/gzwl/shiti_id_27ad225fe57d9ec43a7f0e42c693e635","6","5","2","40%","5","6","100%"," 00:01:42","1",
19,"http://www.1010jiajiao.com/gzwl/shiti_id_bf61f8bf64bcfdcbe2721397e58a6928","6","6","5","83.33%","6","6","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/gzwl/shiti_id_a90594384fee45c1757090cedbcfbb4e","5","1","1","100%","1","5","100%"," 00:02:00","1",
