,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","14,179","13,256","7,638","57.62%","13,199","15,752","91.99%"," 00:02:17","1.11",
1,"http://www.1010jiajiao.com/gzyw/shiti_id_fa6ef7e48048c9f3deec3309d6ae002d","55","50","47","94%","36","59","92.73%"," 00:01:35","1.07",
2,"http://www.1010jiajiao.com/gzyw/shiti_id_f89243ecce64625bd6c3708e71b827a2","43","38","30","78.95%","38","44","97.67%"," 00:01:53","1.02",
3,"http://www.1010jiajiao.com/gzyw/shiti_id_afe7d898ecb5f9a9cd48dd626f5d1647","40","35","30","85.71%","35","40","100%"," 00:01:36","1",
4,"http://www.1010jiajiao.com/gzyw/shiti_id_6ef155d7905d3dd90dfc8be1426f1eaa","27","25","11","44%","26","28","96.15%"," 00:01:45","1.04",
5,"http://www.1010jiajiao.com/gzyw/shiti_id_d533fda072ad86dd8b74d06be78fa1ab","27","22","20","90.91%","22","30","92.59%"," 00:03:10","1.11",
6,"http://www.1010jiajiao.com/gzyw/shiti_id_6c5a17f55b02604a103ceebe7b5fd9a8","25","25","21","84%","25","25","100%"," 00:03:12","1",
7,"http://www.1010jiajiao.com/gzyw/shiti_id_05a7bbfa5144be8e083629aaacfb0799","25","18","14","77.78%","18","27","95.65%"," 00:02:11","1.08",
8,"http://www.1010jiajiao.com/gzyw/shiti_id_9fbd90efcd953b2912a60095db1bd309","23","19","16","84.21%","19","25","95.65%"," 00:01:01","1.09",
9,"http://www.1010jiajiao.com/gzyw/shiti_id_79ac29bebd87f2905efecd761626f35f","23","17","7","41.18%","18","23","100%"," 00:02:02","1",
10,"http://www.1010jiajiao.com/gzyw/shiti_id_f988350464b82900cc0465ce4a427a4d","19","18","12","66.67%","18","19","100%"," 00:01:39","1",
11,"http://www.1010jiajiao.com/gzyw/shiti_id_595cbecb229749d06afe60eb90ec7f25","17","15","15","100%","12","18","94.12%"," 00:00:56","1.06",
12,"http://www.1010jiajiao.com/gzyw/shiti_id_cd38bd206a455bcc1599dd951abe5d0c","17","14","13","92.86%","14","18","92.86%"," 00:02:58","1.06",
13,"http://www.1010jiajiao.com/gzyw/index.php","16","15","12","80%","15","19","86.67%"," 00:01:24","1.19",
14,"http://www.1010jiajiao.com/gzyw/shiti_id_a40178d02df2cf6472708731f095bb0c","16","15","10","66.67%","14","17","93.75%"," 00:01:33","1.06",
15,"http://www.1010jiajiao.com/gzyw/shiti_id_523e4db4da135ecc2d9ed848003dd523","16","16","10","62.5%","16","17","93.75%"," 00:02:14","1.06",
16,"http://www.1010jiajiao.com/gzyw/shiti_id_53cfd509261a5a66513fdf6f7c722027","16","16","11","68.75%","16","18","87.5%"," 00:04:57","1.13",
17,"http://www.1010jiajiao.com/gzyw/shiti_id_023ac0ceea1ee259aee65fea7bbae458","15","15","15","100%","15","21","80%"," 00:05:49","1.4",
18,"http://www.1010jiajiao.com/gzyw/shiti_id_dde1e95c7a1559fa1c7e7a555e3b1c3c","15","14","13","92.86%","13","18","78.57%"," 00:02:01","1.2",
19,"http://www.1010jiajiao.com/gzyw/shiti_id_86ec0059db5f05bf74d5d7ececac1ea1","15","14","13","92.86%","12","15","100%"," 00:00:26","1",
20,"http://www.1010jiajiao.com/gzyw/shiti_id_3b7978ce7cdfa0a33928e622c02ea1da","14","13","12","92.31%","13","14","100%"," 00:00:39","1",
21,"http://www.1010jiajiao.com/gzyw/shiti_id_09f9042bb48dce1b93364c18239affb3","14","13","9","69.23%","13","14","100%"," 00:01:45","1",
22,"http://www.1010jiajiao.com/gzyw/shiti_id_0604f3559e0ba3e7bad82259365f163a","14","12","8","66.67%","12","16","92.86%"," 00:01:42","1.14",
23,"http://www.1010jiajiao.com/gzyw/shiti_id_4793e14ecccb5a9e124959a6da514e1c","14","11","9","81.82%","11","15","92.86%"," 00:01:52","1.07",
24,"http://www.1010jiajiao.com/gzyw/shiti_id_ca71f16cd30c473c4676aa3e44e41834","14","14","13","92.86%","14","15","92.86%"," 00:00:55","1.07",
25,"http://www.1010jiajiao.com/gzyw/shiti_id_cce0ef39b9ac72df0bcb52ebe01d8b32","14","13","11","84.62%","13","14","100%"," 00:01:52","1",
26,"http://www.1010jiajiao.com/gzyw/shiti_id_3a0affbe9fc6038bc4043dec2062b076","13","13","12","92.31%","13","16","76.92%"," 00:03:12","1.23",
27,"http://www.1010jiajiao.com/gzyw/shiti_id_43719f9466f0949ff32ebcad323772ed","13","12","6","50%","12","13","100%"," 00:01:49","1",
28,"http://www.1010jiajiao.com/gzyw/shiti_id_10c0ac1f7706072fd0a4bfabfbe228f8","12","12","10","83.33%","10","12","100%"," 00:02:14","1",
29,"http://www.1010jiajiao.com/gzyw/shiti_id_64bd37e83c3cb8f4457984e6e91ee6a7","12","8","6","75%","8","13","90.91%"," 00:01:47","1.08",
30,"http://www.1010jiajiao.com/gzyw/shiti_id_971ae8fc4ac6fb78f09f576033267e25","12","7","7","100%","7","14","83.33%"," 00:01:51","1.17",
31,"http://www.1010jiajiao.com/gzyw/shiti_id_8f93fca5345dc73527c23895fc7fb4e2","12","8","8","100%","6","15","83.33%"," 00:04:38","1.25",
32,"http://www.1010jiajiao.com/gzyw/shiti_id_30970ce9347bb30d3d4f94b39703c4a5","12","6","5","83.33%","6","12","100%"," 00:02:00","1",
33,"http://www.1010jiajiao.com/gzyw/shiti_id_0fdaaa893c9255db56f18e535485ca81","12","10","10","100%","10","16","75%"," 00:01:54","1.33",
34,"http://www.1010jiajiao.com/gzyw/shiti_id_ca7d869ee8fa0c97d49511de2def9034","11","9","9","100%","7","14","81.82%"," 00:03:19","1.27",
35,"http://www.1010jiajiao.com/gzyw/shiti_id_02292cc3fe237dfddb8e593082df3591","11","7","6","85.71%","7","11","100%"," 00:01:31","1",
36,"http://www.1010jiajiao.com/gzyw/shiti_page_84818","11","8","4","50%","9","14","80%"," 00:01:09","1.27",
37,"http://www.1010jiajiao.com/gzyw/shiti_id_0aed13e5afa56722fd84fb5a45349559","11","11","9","81.82%","11","13","81.82%"," 00:01:00","1.18",
38,"http://www.1010jiajiao.com/gzyw/shiti_id_b9bd4530d964ccabc4497966cfd33df8/?_t=t","11","10","8","80%","10","12","88.89%"," 00:01:53","1.09",
39,"http://www.1010jiajiao.com/gzyw/shiti_id_05f20f5c2c37770d9f6edc4d4269aa52","11","11","9","81.82%","11","12","90.91%"," 00:04:10","1.09",
40,"http://www.1010jiajiao.com/gzyw/shiti_id_b2fb320116c0feac3bf8d6adcb06537c","10","7","5","71.43%","7","10","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/gzyw/shiti_id_e7523bdb7829b1f8027c212f5bfe8da5","10","8","8","100%","8","10","100%"," 00:00:52","1",
42,"http://www.1010jiajiao.com/gzyw/shiti_id_c7787ce21ea0325d53f9091a3f164b09","10","10","8","80%","10","10","100%"," 00:01:48","1",
43,"http://www.1010jiajiao.com/gzyw/shiti_id_cb1ef20330783a8b9da060352fdae0fe","10","7","5","71.43%","6","12","80%"," 00:03:11","1.2",
44,"http://www.1010jiajiao.com/gzyw/shiti_id_0522fe66d9ed83db3bb872b94978a40c","10","10","10","100%","9","11","90%"," 00:00:48","1.1",
45,"http://www.1010jiajiao.com/gzyw/shiti_id_193a93e3481bee47424293f34f504074","10","7","4","57.14%","8","10","100%"," 00:02:04","1",
46,"http://www.1010jiajiao.com/gzyw/shiti_id_050962c79456bf5eb224fd4517f7b733","10","10","8","80%","8","10","100%"," 00:01:13","1",
47,"http://www.1010jiajiao.com/gzyw/shiti_id_aad7347db3975662add57217bf8d505a","10","10","9","90%","9","10","100%"," 00:00:30","1",
48,"http://www.1010jiajiao.com/gzyw/shiti_id_69c53027aedc0004c0615467e96443a7","10","10","7","70%","10","11","90%"," 00:03:21","1.1",
49,"http://www.1010jiajiao.com/gzyw/shiti_id_1ee1305daf24e82f02d15edd022ab958","10","10","8","80%","10","11","90%"," 00:01:36","1.1",
50,"http://www.1010jiajiao.com/gzyw/shiti_id_5755160ac93688a9ce3a8befaec88aa6","9","8","2","25%","8","9","100%"," 00:01:03","1",
51,"http://www.1010jiajiao.com/gzyw/shiti_id_e76cee8654f78223e001dfc5152a15b1","9","5","5","100%","5","11","87.5%"," 00:08:02","1.22",
52,"http://www.1010jiajiao.com/gzyw/shiti_id_d055a3c95b4686050ca7ee4af1de4cbd","9","9","9","100%","9","10","87.5%"," 00:03:29","1.11",
53,"http://www.1010jiajiao.com/gzyw/shiti_id_ff7d78dcf05e2f577e4b3b34764ea38c","9","8","7","87.5%","8","10","88.89%"," 00:02:21","1.11",
54,"http://www.1010jiajiao.com/gzyw/shiti_id_447cfe3b5a267a72c2c15c3074bfcff7","9","3","1","33.33%","3","9","100%"," 00:01:45","1",
55,"http://www.1010jiajiao.com/gzyw/shiti_id_0d283a98eebddd605f52b0b7b1d4ba4d","9","4","1","25%","4","10","88.89%"," 00:02:50","1.11",
56,"http://www.1010jiajiao.com/gzyw/shiti_id_bb4ec4eac1e5d0c7756c90b2e5728d0e","9","9","9","100%","8","13","66.67%"," 00:02:17","1.44",
