,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","14,004","12,715","7,014","55.16%","12,717","15,344","92.78%"," 00:02:18","1.1",
1,"http://www.1010jiajiao.com/gzyy/shiti_id_f2f95639822b6362098c07eea7a95d91","1,022","810","271","33.46%","815","1,071","96.57%"," 00:01:40","1.05",
2,"http://www.1010jiajiao.com/gzyy/shiti_id_2072308db8e86d2a0009de226778353f","113","89","65","73.03%","90","122","93.75%"," 00:02:47","1.08",
3,"http://www.1010jiajiao.com/gzyy/shiti_id_64bbdab607d82ac3134993f0ee0155a0","84","68","54","79.41%","66","88","96.43%"," 00:03:10","1.05",
4,"http://www.1010jiajiao.com/gzyy/shiti_id_0940847dcf2f0ae1e3c095f544bc2391","58","45","38","84.44%","45","68","87.93%"," 00:02:20","1.17",
5,"http://www.1010jiajiao.com/gzyy/shiti_id_ac458cd9ec63547a8223af5a0ef44d8b","55","41","34","82.93%","42","61","92.45%"," 00:02:26","1.11",
6,"http://www.1010jiajiao.com/gzyy/shiti_id_c80bafda8f14487b834801d8039e54dc","55","46","32","69.57%","46","64","89.09%"," 00:02:21","1.16",
7,"http://www.1010jiajiao.com/gzyy/shiti_id_a7158932c3741ab81bc15d8d8d36ed7f","47","44","34","77.27%","42","48","97.83%"," 00:02:14","1.02",
8,"http://www.1010jiajiao.com/gzyy/shiti_id_9f62f5d77fd3d917c15317be9ac99246","46","42","34","80.95%","42","46","100%"," 00:01:39","1",
9,"http://www.1010jiajiao.com/gzyy/shiti_id_4881c14a44a960e609346b43ea471e48","40","35","24","68.57%","35","40","100%"," 00:01:42","1",
10,"http://www.1010jiajiao.com/gzyy/shiti_id_e5d0ed2e4215c10171bb4c45a4ad65a1","38","35","27","77.14%","33","39","100%"," 00:02:57","1.03",
11,"http://www.1010jiajiao.com/gzyy/shiti_page_85900","38","36","23","63.89%","36","44","89.19%"," 00:01:50","1.16",
12,"http://www.1010jiajiao.com/gzyy/shiti_id_75029ba63257cc2005818b8f79cf2b6c","34","33","18","54.55%","33","35","97.06%"," 00:02:49","1.03",
