,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","28,434","26,088","20,977","80.41%","26,131","31,316","93.1%"," 00:02:54","1.1",
1,"http://www.1010jiajiao.com/qx_portal/doc/615763.html","555","494","413","83.6%","497","599","94.53%"," 00:02:18","1.08",
2,"http://www.1010jiajiao.com/qx_portal/doc/696187.html","551","474","356","75.11%","473","592","94.83%"," 00:02:55","1.07",
3,"http://www.1010jiajiao.com/qx_portal/doc/875874.html","356","316","256","81.01%","320","384","94.19%"," 00:03:02","1.08",
4,"http://www.1010jiajiao.com/qx_portal/doc/876272.html","268","253","200","79.05%","248","291","95.18%"," 00:03:00","1.09",
5,"http://www.1010jiajiao.com/qx_portal/doc/733133.html","267","242","193","79.75%","243","302","92.19%"," 00:03:57","1.13",
6,"http://www.1010jiajiao.com/qx_portal/doc/63681.html","266","241","171","70.95%","236","282","94.78%"," 00:04:20","1.06",
7,"http://www.1010jiajiao.com/qx_portal/doc/879793.html","257","229","160","69.87%","231","276","94.49%"," 00:02:02","1.07",
8,"http://www.1010jiajiao.com/qx_portal/doc/746088.html","257","238","195","81.93%","238","283","91.2%"," 00:04:07","1.1",
9,"http://www.1010jiajiao.com/qx_portal/doc/725696.html","254","237","207","87.34%","238","269","96.64%"," 00:02:17","1.06",
10,"http://www.1010jiajiao.com/qx_portal/doc/879885.html","227","202","151","74.75%","206","237","97.36%"," 00:01:58","1.04",
11,"http://www.1010jiajiao.com/qx_portal/doc/804768.html","198","179","129","72.07%","181","211","94.3%"," 00:02:18","1.07",
12,"http://www.1010jiajiao.com/qx_portal/doc/65862.html","145","124","101","81.45%","127","151","97.92%"," 00:02:00","1.04",
13,"http://www.1010jiajiao.com/qx_portal/doc/62264.html","145","138","103","74.64%","138","155","93.71%"," 00:02:09","1.07",
14,"http://www.1010jiajiao.com/qx_portal/doc/677174.html","134","125","103","82.4%","125","139","96.06%"," 00:02:47","1.04",
15,"http://www.1010jiajiao.com/qx_portal/doc/53692.html","123","110","90","81.82%","110","125","98.36%"," 00:03:25","1.02",
16,"http://www.1010jiajiao.com/qx_portal/doc/746955.html","123","86","70","81.4%","90","145","90.91%"," 00:03:35","1.18",
17,"http://www.1010jiajiao.com/qx_portal/doc/679440.html","107","97","87","89.69%","98","109","98.04%"," 00:02:56","1.02",
18,"http://www.1010jiajiao.com/qx_portal/doc/654082.html","98","88","75","85.23%","89","106","94.68%"," 00:02:02","1.08",
19,"http://www.1010jiajiao.com/qx_portal/doc/876007.html","95","80","57","71.25%","82","101","94.05%"," 00:02:53","1.06",
20,"http://www.1010jiajiao.com/qx_portal/doc/873858.html","95","90","76","84.44%","90","101","94.62%"," 00:04:21","1.06",
21,"http://www.1010jiajiao.com/qx_portal/doc/746344.html","93","77","63","81.82%","79","107","88.89%"," 00:04:31","1.15",
22,"http://www.1010jiajiao.com/qx_portal/doc/811185.html","90","71","53","74.65%","71","94","96.67%"," 00:02:00","1.04",
23,"http://www.1010jiajiao.com/qx_portal/doc/663215.html","89","71","60","84.51%","70","96","93.9%"," 00:02:25","1.08",
24,"http://www.1010jiajiao.com/qx_portal/doc/688028.html","86","76","62","81.58%","75","102","87.95%"," 00:02:50","1.19",
25,"http://www.1010jiajiao.com/qx_portal/doc/675858.html","86","80","70","87.5%","81","95","96.3%"," 00:03:19","1.1",
26,"http://www.1010jiajiao.com/qx_portal/doc/665623.html","83","60","48","80%","61","92","90%"," 00:03:35","1.11",
27,"http://www.1010jiajiao.com/qx_portal/doc/680081.html","81","67","50","74.63%","67","83","97.47%"," 00:03:14","1.02",
28,"http://www.1010jiajiao.com/qx_portal/doc/879838.html","81","65","53","81.54%","65","88","90.54%"," 00:03:54","1.09",
29,"http://www.1010jiajiao.com/qx_portal/doc/676151.html","80","70","62","88.57%","71","94","92.96%"," 00:02:50","1.18",
30,"http://www.1010jiajiao.com/qx_portal/doc/641882.html","78","68","65","95.59%","67","81","95.89%"," 00:02:05","1.04",
31,"http://www.1010jiajiao.com/qx_portal/doc/735646.html","75","68","57","83.82%","68","78","97.18%"," 00:02:27","1.04",
32,"http://www.1010jiajiao.com/qx_portal/doc/69117.html","74","70","46","65.71%","71","78","95.95%"," 00:01:53","1.05",
33,"http://www.1010jiajiao.com/qx_portal/doc/868618.html","74","67","43","64.18%","68","77","95.83%"," 00:02:00","1.04",
34,"http://www.1010jiajiao.com/qx_portal/doc/679457.html","73","57","45","78.95%","58","78","95.65%"," 00:03:57","1.07",
35,"http://www.1010jiajiao.com/qx_portal/doc/139731.html","72","70","54","77.14%","70","77","95.52%"," 00:04:19","1.07",
36,"http://www.1010jiajiao.com/qx_portal/doc/939037.html","68","67","57","85.07%","67","68","100%"," 00:04:32","1",
37,"http://www.1010jiajiao.com/qx_portal/doc/64125.html","67","54","45","83.33%","53","78","85.25%"," 00:04:13","1.16",
38,"http://www.1010jiajiao.com/qx_portal/doc/746255.html","67","60","47","78.33%","59","89","83.08%"," 00:06:09","1.33",
39,"http://www.1010jiajiao.com/qx_portal/doc/785986.html","62","53","42","79.25%","54","64","96.77%"," 00:02:12","1.03",
40,"http://www.1010jiajiao.com/qx_portal/doc/875255.html","60","49","43","87.76%","49","62","98.33%"," 00:02:55","1.03",
41,"http://www.1010jiajiao.com/qx_portal/doc/880147.html","57","50","46","92%","52","66","94.34%"," 00:02:03","1.16",
42,"http://www.1010jiajiao.com/qx_portal/doc/676607.html","57","49","45","91.84%","50","59","96.08%"," 00:03:44","1.04",
43,"http://www.1010jiajiao.com/qx_portal/doc/66705.html","56","47","31","65.96%","47","65","91.07%"," 00:02:23","1.16",
44,"http://www.1010jiajiao.com/qx_portal/doc/605599.html","54","47","36","76.6%","47","54","100%"," 00:02:03","1",
45,"http://www.1010jiajiao.com/qx_portal/doc/790053.html","54","44","38","86.36%","47","60","89.8%"," 00:02:51","1.11",
46,"http://www.1010jiajiao.com/qx_portal/doc/85537.html","54","48","43","89.58%","49","54","100%"," 00:02:01","1",
47,"http://www.1010jiajiao.com/qx_portal/doc/876368.html","54","45","40","88.89%","46","56","98.04%"," 00:01:41","1.04",
48,"http://www.1010jiajiao.com/qx_portal/doc/880178.html","50","41","28","68.29%","41","57","85.71%"," 00:04:21","1.14",
49,"http://www.1010jiajiao.com/qx_portal/doc/684230.html","50","44","31","70.45%","46","52","98%"," 00:02:18","1.04",
50,"http://www.1010jiajiao.com/qx_portal/doc/760316.html","49","45","40","88.89%","45","58","89.58%"," 00:02:33","1.18",
51,"http://www.1010jiajiao.com/qx_portal/doc/675997.html","49","43","35","81.4%","44","51","100%"," 00:02:09","1.04",
52,"http://www.1010jiajiao.com/qx_portal/doc/901587.html","48","43","38","88.37%","41","51","93.62%"," 00:04:18","1.06",
53,"http://www.1010jiajiao.com/qx_portal/doc/687778.html","46","34","26","76.47%","34","59","87.8%"," 00:04:18","1.28",
54,"http://www.1010jiajiao.com/qx_portal","45","44","29","65.91%","43","50","92.5%"," 00:00:36","1.11",
55,"http://www.1010jiajiao.com/qx_portal/doc/154656.html","45","43","41","95.35%","43","48","100%"," 00:01:52","1.07",
56,"http://www.1010jiajiao.com/qx_portal/doc/804097.html","45","42","27","64.29%","42","45","100%"," 00:02:07","1",
57,"http://www.1010jiajiao.com/qx_portal/doc/688394.html","45","34","22","64.71%","35","68","72.5%"," 00:02:07","1.51",
58,"http://www.1010jiajiao.com/qx_portal/doc/343259.html","44","41","38","92.68%","40","48","90.91%"," 00:02:58","1.09",
59,"http://www.1010jiajiao.com/qx_portal/doc/677265.html","43","39","32","82.05%","38","48","88.1%"," 00:04:53","1.12",
60,"http://www.1010jiajiao.com/qx_portal/doc/596078.html","43","43","35","81.4%","43","45","95.12%"," 00:04:50","1.05",
61,"http://www.1010jiajiao.com/qx_portal/doc/138001.html","43","43","41","95.35%","43","43","100%"," 00:03:20","1",
62,"http://www.1010jiajiao.com/qx_portal/doc/680095.html","43","38","26","68.42%","38","48","90.7%"," 00:02:48","1.12",
63,"http://www.1010jiajiao.com/qx_portal/doc/747045.html","42","38","32","84.21%","38","45","92.86%"," 00:02:59","1.07",
64,"http://www.1010jiajiao.com/qx_portal/doc/621927.html","42","34","26","76.47%","35","42","100%"," 00:02:37","1",
65,"http://www.1010jiajiao.com/qx_portal/doc/792862.html","41","36","33","91.67%","36","48","87.18%"," 00:05:54","1.17",
66,"http://www.1010jiajiao.com/qx_portal/doc/208107.html","41","37","32","86.49%","37","41","100%"," 00:02:11","1",
67,"http://www.1010jiajiao.com/qx_portal/doc/687902.html","41","32","24","75%","35","53","90%"," 00:02:35","1.29",
68,"http://www.1010jiajiao.com/qx_portal/doc/616246.html","40","34","28","82.35%","33","40","100%"," 00:02:59","1",
69,"http://www.1010jiajiao.com/qx_portal/doc/787842.html","39","31","29","93.55%","31","43","89.19%"," 00:04:30","1.1",
70,"http://www.1010jiajiao.com/qx_portal/doc/682691.html","39","31","27","87.1%","30","41","94.74%"," 00:01:45","1.05",
71,"http://www.1010jiajiao.com/qx_portal/doc/875830.html","39","39","35","89.74%","38","43","88.24%"," 00:05:54","1.1",
72,"http://www.1010jiajiao.com/qx_portal/doc/422961.html","38","28","25","89.29%","28","42","91.67%"," 00:03:39","1.11",
73,"http://www.1010jiajiao.com/qx_portal/doc/782581.html","38","31","23","74.19%","31","41","91.89%"," 00:04:08","1.08",
74,"http://www.1010jiajiao.com/qx_portal/doc/806837.html","38","35","28","80%","35","46","88.89%"," 00:03:07","1.21",
75,"http://www.1010jiajiao.com/qx_portal/doc/616620.html","36","31","24","77.42%","31","43","91.18%"," 00:02:11","1.19",
76,"http://www.1010jiajiao.com/qx_portal/doc/641561.html","36","33","31","93.94%","33","36","100%"," 00:02:36","1",
77,"http://www.1010jiajiao.com/qx_portal/doc/795518.html","36","34","25","73.53%","34","53","85.71%"," 00:03:41","1.47",
78,"http://www.1010jiajiao.com/qx_portal/doc/874985.html","36","25","22","88%","25","46","84.38%"," 00:04:32","1.28",
79,"http://www.1010jiajiao.com/qx_portal/doc/675891.html","35","31","26","83.87%","32","35","100%"," 00:04:15","1",
80,"http://www.1010jiajiao.com/qx_portal/doc/679532.html","34","31","29","93.55%","31","34","100%"," 00:02:11","1",
81,"http://www.1010jiajiao.com/qx_portal/doc/78598.html","34","30","21","70%","28","35","96.88%"," 00:01:46","1.03",
82,"http://www.1010jiajiao.com/qx_portal/doc/868936.html","34","34","30","88.24%","33","37","90.91%"," 00:04:53","1.09",
83,"http://www.1010jiajiao.com/qx_portal/doc/66738.html","33","31","22","70.97%","31","33","100%"," 00:02:13","1",
84,"http://www.1010jiajiao.com/qx_portal/doc/92517.html","33","32","29","90.63%","32","35","93.33%"," 00:03:21","1.06",
85,"http://www.1010jiajiao.com/qx_portal/doc/720544.html","33","27","22","81.48%","27","35","93.55%"," 00:02:12","1.06",
86,"http://www.1010jiajiao.com/qx_portal/doc/620593.html","32","24","20","83.33%","23","38","89.29%"," 00:01:47","1.19",
87,"http://www.1010jiajiao.com/qx_portal/doc/461194.html","32","28","24","85.71%","29","32","100%"," 00:02:39","1",
88,"http://www.1010jiajiao.com/qx_portal/doc/638848.html","31","29","21","72.41%","29","39","77.78%"," 00:03:32","1.26",
89,"http://www.1010jiajiao.com/qx_portal/doc/756165.html","30","29","24","82.76%","30","32","96.67%"," 00:03:05","1.07",
