,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","18,698","16,711","8,695","52.03%","16,690","19,816","95.25%"," 00:02:18","1.06",
1,"http://www.1010jiajiao.com/yuedu_id_92000","100","100","88","88%","100","100","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/yuedu_id_182563","95","83","54","65.06%","81","99","96.84%"," 00:02:02","1.04",
3,"http://www.1010jiajiao.com/yuedu_id_42530","91","91","80","87.91%","91","91","100%"," 00:02:00","1",
4,"http://www.1010jiajiao.com/yuedu_id_94065","89","89","76","85.39%","89","89","100%"," 00:02:01","1",
5,"http://www.1010jiajiao.com/yuedu_id_61913","87","87","71","81.61%","88","88","98.75%"," 00:02:27","1.01",
6,"http://www.1010jiajiao.com/yuedu_id_53377","87","87","75","86.21%","87","87","100%"," 00:02:03","1",
7,"http://www.1010jiajiao.com/yuedu_id_59985","85","85","75","88.24%","85","85","100%"," 00:02:00","1",
8,"http://www.1010jiajiao.com/yuedu_id_202529","84","84","71","84.52%","84","84","100%"," 00:02:00","1",
9,"http://www.1010jiajiao.com/yuedu_id_203341","83","81","67","82.72%","81","85","98.59%"," 00:02:00","1.02",
10,"http://www.1010jiajiao.com/yuedu_id_201529","83","83","75","90.36%","83","83","100%"," 00:02:00","1",
11,"http://www.1010jiajiao.com/yuedu_id_277","82","82","70","85.37%","82","82","100%"," 00:02:00","1",
12,"http://www.1010jiajiao.com/yuedu_id_160642","82","82","74","90.24%","83","82","100%"," 00:02:00","1",
13,"http://www.1010jiajiao.com/yuedu_id_133952","81","78","69","88.46%","78","81","100%"," 00:02:21","1",
14,"http://www.1010jiajiao.com/yuedu_id_133709","81","81","68","83.95%","81","81","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/yuedu_id_172273","80","79","69","87.34%","79","80","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/yuedu_id_22202","78","78","68","87.18%","78","78","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/yuedu_id_62790","77","77","68","88.31%","78","77","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/yuedu_id_79045","76","76","67","88.16%","76","76","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/yuedu_id_178583","72","72","64","88.89%","72","72","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/yuedu_id_202492","71","71","61","85.92%","71","71","100%"," 00:01:58","1",
21,"http://www.1010jiajiao.com/yuedu_id_77372","71","71","57","80.28%","71","71","100%"," 00:02:00","1",
22,"http://www.1010jiajiao.com/yuedu_id_190688","68","68","61","89.71%","68","70","98.44%"," 00:02:24","1.03",
23,"http://www.1010jiajiao.com/yuedu_id_173528","67","60","53","88.33%","40","69","97.01%"," 00:00:54","1.03",
24,"http://www.1010jiajiao.com/yuedu_id_202104","42","32","11","34.38%","32","46","89.19%"," 00:02:01","1.1",
25,"http://www.1010jiajiao.com/yuedu_id_62813","41","35","23","65.71%","34","42","97.56%"," 00:01:48","1.02",
26,"http://www.1010jiajiao.com/yuedu_id_19724","41","36","11","30.56%","36","42","97.3%"," 00:01:52","1.02",
27,"http://www.1010jiajiao.com/yuedu_id_182563?mType=Group&amp;from=androidqq","38","29","17","58.62%","29","38","100%"," 00:02:01","1",
28,"http://www.1010jiajiao.com/yuedu_id_200201","36","30","11","36.67%","30","39","93.94%"," 00:01:51","1.08",
29,"http://www.1010jiajiao.com/yuedu_id_205866","34","29","7","24.14%","28","35","96.88%"," 00:02:04","1.03",
30,"http://www.1010jiajiao.com/yuedu_id_174669","33","30","27","90%","28","35","93.94%"," 00:03:27","1.06",
31,"http://www.1010jiajiao.com/yuedu_id_200353","33","30","11","36.67%","31","36","96.55%"," 00:02:40","1.09",
32,"http://www.1010jiajiao.com/yuedu_id_126065","32","29","17","58.62%","28","32","100%"," 00:01:56","1",
33,"http://www.1010jiajiao.com/yuedu_id_209035","30","25","7","28%","25","31","96%"," 00:02:30","1.03",
34,"http://www.1010jiajiao.com/yuedu_id_162040","29","25","20","80%","24","31","93.1%"," 00:03:09","1.07",
35,"http://www.1010jiajiao.com/yuedu_id_207703","28","25","6","24%","25","29","96%"," 00:02:12","1.04",
36,"http://www.1010jiajiao.com/yuedu_id_208325","28","19","5","26.32%","19","29","96.15%"," 00:02:34","1.04",
37,"http://www.1010jiajiao.com/yuedu_id_201946","27","20","7","35%","21","31","87.5%"," 00:03:44","1.15",
38,"http://www.1010jiajiao.com/yuedu_id_205920","27","20","7","35%","20","28","95.83%"," 00:01:56","1.04",
39,"http://www.1010jiajiao.com/yuedu_id_215553","27","20","7","35%","19","30","92.59%"," 00:02:50","1.11",
40,"http://www.1010jiajiao.com/yuedu_id_200625","26","17","7","41.18%","17","27","100%"," 00:03:24","1.04",
41,"http://www.1010jiajiao.com/yuedu_id_210942","26","24","12","50%","23","29","96%"," 00:02:47","1.12",
42,"http://www.1010jiajiao.com/yuedu_id_200128","25","12","4","33.33%","12","25","100%"," 00:01:49","1",
43,"http://www.1010jiajiao.com/yuedu_id_160892","25","19","9","47.37%","19","28","88%"," 00:04:33","1.12",
44,"http://www.1010jiajiao.com/yuedu_id_213856","25","17","4","23.53%","17","27","91.67%"," 00:02:05","1.08",
45,"http://www.1010jiajiao.com/yuedu_id_91134","24","15","14","93.33%","13","24","100%"," 00:01:57","1",
46,"http://www.1010jiajiao.com/yuedu_id_211332","24","20","9","45%","20","26","93.75%"," 00:02:10","1.08",
47,"http://www.1010jiajiao.com/yuedu_id_205761","24","21","8","38.1%","21","26","90.91%"," 00:02:02","1.08",
48,"http://www.1010jiajiao.com/yuedu_id_163833","24","18","15","83.33%","13","33","87.5%"," 00:03:28","1.38",
49,"http://www.1010jiajiao.com/yuedu_id_210075","24","22","8","36.36%","22","27","95.24%"," 00:02:07","1.13",
50,"http://www.1010jiajiao.com/yuedu_id_160048","23","23","22","95.65%","22","25","91.3%"," 00:00:43","1.09",
51,"http://www.1010jiajiao.com/yuedu_id_200171","23","20","6","30%","20","24","94.74%"," 00:03:07","1.04",
52,"http://www.1010jiajiao.com/yuedu_id_203735","23","19","8","42.11%","19","24","95%"," 00:01:57","1.04",
53,"http://www.1010jiajiao.com/yuedu_id_211133","23","18","4","22.22%","18","27","82.61%"," 00:05:31","1.17",
54,"http://www.1010jiajiao.com/yuedu_id_118974","22","16","7","43.75%","16","24","90.91%"," 00:03:05","1.09",
55,"http://www.1010jiajiao.com/yuedu_id_214583","21","17","3","17.65%","17","22","100%"," 00:01:53","1.05",
56,"http://www.1010jiajiao.com/yuedu_id_215063","20","16","14","87.5%","17","20","100%"," 00:01:39","1",
57,"http://www.1010jiajiao.com/yuedu_id_216025","19","18","5","27.78%","18","23","89.47%"," 00:02:14","1.21",
58,"http://www.1010jiajiao.com/yuedu_id_204566","19","18","6","33.33%","18","21","89.47%"," 00:02:21","1.11",
59,"http://www.1010jiajiao.com/yuedu_id_213170","19","11","4","36.36%","11","20","93.75%"," 00:01:52","1.05",
60,"http://www.1010jiajiao.com/yuedu_id_44705","19","17","6","35.29%","17","20","94.44%"," 00:01:46","1.05",
61,"http://www.1010jiajiao.com/yuedu_id_58127","19","15","3","20%","15","20","94.44%"," 00:01:58","1.05",
62,"http://www.1010jiajiao.com/yuedu_id_217984","19","17","9","52.94%","17","19","100%"," 00:03:56","1",
63,"http://www.1010jiajiao.com/yuedu_id_209384","18","13","3","23.08%","14","20","94.44%"," 00:02:10","1.11",
64,"http://www.1010jiajiao.com/yuedu_id_214785","18","13","3","23.08%","13","18","100%"," 00:01:31","1",
65,"http://www.1010jiajiao.com/yuedu_id_179","18","8","2","25%","8","18","100%"," 00:01:29","1",
66,"http://www.1010jiajiao.com/yuedu_id_202489","18","14","6","42.86%","15","20","94.12%"," 00:03:19","1.11",
